Smallest_Island_group	mean_CCSM_piControl_1760_bio1	mean_CCSM_piControl_1760_bio2	mean_CCSM_piControl_1760_bio3	mean_CCSM_piControl_1760_bio4	mean_CCSM_piControl_1760_bio5	mean_CCSM_piControl_1760_bio6	mean_CCSM_piControl_1760_bio7	mean_CCSM_piControl_1760_bio8	mean_CCSM_piControl_1760_bio9	mean_CCSM_piControl_1760_bio10	mean_CCSM_piControl_1760_bio11	mean_CCSM_piControl_1760_bio12	mean_CCSM_piControl_1760_bio13	mean_CCSM_piControl_1760_bio14	mean_CCSM_piControl_1760_bio15	mean_CCSM_piControl_1760_bio16	mean_CCSM_piControl_1760_bio17	mean_CCSM_piControl_1760_bio18	mean_CCSM_piControl_1760_bio19
Ambae	26.078086853027344	0.5770620703697205	14.423957824707031	128.2266387939453	27.98859405517578	23.987873077392578	4.0007195472717285	27.183937072753906	24.818391799926758	27.205547332763672	24.818391799926758	2174.49560546875	291.925537109375	75.40677642822266	43.559749603271484	779.7445068359375	328.0028991699219	715.41412353515625	328.0028991699219
Ambrym	25.7229061126709	0.5832156538963318	13.049481391906738	145.9342803955078	27.864513397216797	23.39525032043457	4.469263076782227	26.970735549926758	24.278522491455078	27.013824462890625	24.278522491455078	1998.6414794921875	277.1318054199219	67.54920196533203	47.23589324951172	729.30792236328125	281.9580078125	685.7017822265625	281.9580078125
Aneityum	24.202529907226562	0.5874956846237183	9.729872703552246	204.37745666503906	27.161170959472656	21.123109817504883	6.038061141967773	25.893360137939453	22.683000564575195	26.055034637451172	22.17872428894043	1377.1336669921875	203.193359375	49.093711853027344	52.028831481933594	507.33160400390625	172.150390625	495.64947509765625	202.0022430419922
Anen-Kio	25.574447631835938	0.5681507587432861	14.024354934692383	128.34591674804688	27.532514572143555	23.481342315673828	4.051171779632568	26.76673126220703	24.37498664855957	26.76673126220703	24.37498664855957	1126.341796875	216.25735473632812	13.93068790435791	78.93444061279297	484.4884338378906	57.40217208862305	484.4884338378906	57.40217208862305
Anuta	27.114139556884766	0.5702716112136841	24.587553024291992	65.14551544189453	28.249492645263672	25.93014144897461	2.3193507194519043	27.671112060546875	26.54608917236328	27.686506271362305	26.54608917236328	3006.944580078125	338.5257263183594	175.1698760986328	19.323875427246094	841.9984130859375	648.85040283203125	832.51318359375	648.85040283203125
Aore	25.873334884643555	0.5763015151023865	13.451677322387695	139.0155487060547	27.91754722595215	23.633312225341797	4.28423547744751	27.05652618408203	24.49380111694336	27.10866928100586	24.49380111694336	2061.148193359375	286.49176025390625	68.18829345703125	47.22614288330078	754.09332275390625	293.4263916015625	702.228759765625	293.4263916015625
Araki	25.89780044555664	0.5728374123573303	13.326993942260742	139.73570251464844	27.944795608520508	23.64647102355957	4.298324108123779	27.08188247680664	24.50705909729004	27.143964767456055	24.50705909729004	2030.607421875	286.6048278808594	65.01074981689453	48.84967041015625	750.49908447265625	281.4713439941406	700.0196533203125	281.4713439941406
Australia	26.54129981994629	1.479137897491455	37.011817932128906	92.7523193359375	28.58205795288086	24.585664749145508	3.9963934421539307	27.200881958007812	25.551822662353516	27.45249366760254	25.551822662353516	2075.695556640625	290.4980163574219	43.29069519042969	56.32057571411133	828.645263671875	238.48489379882812	738.0538330078125	238.48489379882812
Banaba	27.21941375732422	0.597130537033081	53.49368667602539	16.455835342407227	27.73615837097168	26.61989402770996	1.1162636280059814	27.360416412353516	26.98665428161621	27.360416412353516	26.98665428161621	1288.4412841796875	151.8429412841797	63.31555938720703	26.914831161499023	404.6846618652344	216.0638427734375	404.6846618652344	216.0638427734375
Belep	24.336901545524597	0.5845158621668816	9.529810786247253	208.70988178253174	27.30311369895935	21.169562697410583	6.133550941944122	25.982275247573853	22.86464023590088	26.288599729537964	22.21209466457367	1257.2012405395508	201.42943477630615	33.505414962768555	64.03372097015381	496.4510040283203	124.75529527664185	482.0041561126709	153.99083805084229
