group	lg_count	EA033	Settlement_order_oldest	Area_land	Shoreline	ratio_coastline_to_area	Isolation	Latitude_abs_mean	Annual_temperature_mean	Temperature_seasonality_mean	Annual_precipitation_mean	Precipitation_seasonality_mean
Anewetak	1	1.4638719830483726	0.7880068440719966	-0.7316060776665022	-0.31019738679623704	0.3300007406937512	0.8505521569761395	-0.4185857978942994	0.5445859630199078	-0.5433167604535438	-0.336274816636118	1.9468205471541338
Anuta-Tikopia	2	-1.0575467959104166	1.496602145718133	-0.8831331018923846	-1.3428548539588874	-0.05231180906005936	0.41211179497475536	-0.37168961370864767	0.564664707452302	-0.3730520236814742	0.9917382565415304	-0.5427671520376084
Aotearoa	1	-0.21707386959082015	-0.9834814100433444	2.993348443388041	2.753901767162021	-0.47487739440282684	1.5977417805397016	3.0405822268458964	-4.225009012077906	2.6003398318912767	-1.2213577614633615	-1.2779052564516733
Banaba	1	-0.21707386959082015	0.7880068440719966	-0.8197977611061154	-1.4355743702289006	-0.18997398124585876	-0.489791863494146	-1.680722191770773	0.6201150478695049	-1.1146457541218995	-1.2754771249289814	-0.08345831495607035
Chuuk	6	-0.21707386959082015	1.142304494895065	0.21092335601698645	0.7391735434428682	-0.11959042144443663	-0.5209347393858402	-0.8947911134068072	0.6677695100808255	-1.0584889071004246	1.3105195979342812	-0.46816054430160325
East Futuna	1	-0.21707386959082015	1.142304494895065	0.08553512717893229	-0.3638332064947592	-0.35437681320348596	-0.8047222986489605	-0.0914402343625445	0.4294602800075035	-0.12795809180089657	0.438900446358591	-0.12872595306265433
Fiji	8	1.4638719830483726	1.496602145718133	2.02503496700434	2.012771333048983	-0.41851393347882787	0.26785825025346505	0.32217276557872426	-0.04550034630998122	0.7862533228499968	-0.4602891944673983	1.1273139182385261
Hawai'i	1	3.1448178356875656	-0.6291837592202761	1.9808902018669285	1.4491519534626986	-0.4834891612765786	3.3248420534990943	0.7214716483568026	-0.5132601311677428	0.30456774625878436	-1.689032727920852	-0.666972225749618
Hereheretue	1	-0.21707386959082015	-0.6291837592202761	-0.9788678028650212	-0.9328907876363484	0.41616938908043455	0.3483383728718226	0.5685204091680462	-0.1956749514402054	0.6124269918175906	-0.43275480340190686	-0.38839402974267423
Kapingamarangi	1	-1.898019722230013	-0.6291837592202761	-1.3092028860661555	-0.9966966849627334	2.069553663391812	-0.40274894009791434	-1.6590929440534399	0.6984151574530648	-1.2036054936612324	-0.16999095145809417	-0.2517722956129699
Kosrae	1	1.4638719830483726	0.7880068440719966	0.15273932054243805	-0.46249013604215033	-0.40690884212863765	0.5216017816058728	-1.1540429215252461	0.6715931807359863	-1.169499051941401	1.8056760246881651	-0.31873585876750754
Laguas_yan_gani	3	-1.898019722230013	1.8508997965412013	0.9257811936964531	0.7396298239194091	-0.3808230899589155	0.8062484370649292	0.05279054428463738	0.45331545507214194	-0.16589766297137742	-0.6382115655595906	2.55671528112426
Mangaia	1	-0.21707386959082015	-0.6291837592202761	-0.13811368678881852	-0.8988986808069225	-0.4189057990772785	-1.0423863187126081	0.8113807791330421	-0.6337949681659447	1.1813589727659275	-1.055055074261799	0.2982005360314204
Mangareva	1	-0.21707386959082015	-0.6291837592202761	-0.3107239496441753	-0.06432569153955531	-0.03361317955652646	-1.121463461192659	0.9569723512577906	-0.7438494963312487	1.1086122192103054	-0.5166575824292979	-1.1909814985629845
Mangarongaro	1	-0.21707386959082015	-1.3377790608664126	-0.5925033911250003	-0.12876060680239565	0.2220835483641786	-0.12164254314803571	-0.7151827090726508	0.6227628935680873	-1.0182496261997729	0.4925762261142342	0.32624057762171943
Marquesas	2	-1.898019722230013	-0.6291837592202761	0.9889772938060298	0.8633711498190251	-0.37483607484945575	0.5102251842567498	-0.6773567802005385	0.3983341917176034	-0.6486527907013716	-0.5993716490863672	4.0035264307960166
Marutea	1	-0.21707386959082015	-0.6291837592202761	-0.4065144409306393	0.04964299858575675	0.09263283778870876	-1.1123986046229617	0.7647816485653522	-0.4531805681587901	0.8050596839836084	-0.4644232007816843	-1.22682242573178
Mo-ava-mo-iki	1	-0.21707386959082015	1.496602145718133	0.8256288511608659	0.2847249187854493	-0.44030918978100514	0.2581453190861575	-0.4264293070806167	0.5110068156776103	-0.22950339696692415	0.7603889694866529	0.07972419786068996
Morane	1	-0.21707386959082015	-0.6291837592202761	-1.7353783788859478	-1.6663107796992935	-4.541019767777065	-0.9491464825700137	0.9580922890013486	-0.7564927531262114	1.1723018090417694	-0.5508013993799044	-1.091066411809797
Napuka	1	-0.21707386959082015	-0.6291837592202761	-0.7624095997194887	-0.7294081431619585	0.1464586997861172	-0.5886091230981475	-0.10717596281749892	0.39863108526229873	-0.35935148609124923	-0.37738201428166257	0.3366779117588602
New Caledonia (incl loyalties)	34	0.20316259356897806	1.496602145718133	2.252413158195815	2.135661508420159	-0.44043027759138625	1.0142540138516922	0.6849751952458374	-0.5708287118479369	1.6946793284718547	-1.321545062743421	2.387509763200695
Nga Pu Toru	1	-0.21707386959082015	-0.6291837592202761	0.044437711219473104	-0.05457979400840785	-0.24983715466223566	-0.6983108708674642	0.4820397330680919	-0.1594643970271094	0.6215648758862427	-0.6946239796366596	0.47498895062077046
Nia Matai	1	1.4638719830483726	-0.6291837592202761	1.118993741374812	1.0811018459876414	-0.3696636777774433	0.2388227188526223	0.21814641621154013	0.18618008472442632	0.09903261113214407	-0.20640754855115984	0.04611917412226079
