Smallest_Island_group	mode_pol_complex	sum_area	lg_count_smallest	sum_shoreline	mean_lat	mean_long	settlement_date_grouping_finer	oldest_date	color	lg_count	NPP_terra_mean	NPP_aqua_mean	mean_CCSM_piControl_1760_bio1	mean_CCSM_piControl_1760_bio4	mean_CCSM_piControl_1760_bio12	mean_CCSM_piControl_1760_bio15	ratio_coastline_to_area	mean_lat_abs
Ambae	1	850.549692346	2	211.113632806	-15.3955646085	167.848248315	11	3200	#E76C31	2	32766	32766	26.078086853027344	128.2266387939453	2174.49560546875	43.55974960327149	0.24820846413300432	15.3955646085
Ambrym	1	1379.527967348	6	280.74937569	-16.2526197768	168.115843193	11	3200	#B8F188	6	32765	32765	25.7229061126709	145.9342803955078	1998.6414794921875	47.23589324951172	0.20351118812742283	16.2526197768
Aneityum	2	1424.8224026973	1	510.048611892	-20.2174143666	169.72909242766667	11	3200	#B5D373	1	6554.68326	8192.99252495	24.20252990722656	204.37745666503903	1377.1336669921875	52.028831481933594	0.3579734645710498	20.2174143666
Anuta	1	1.1236877878	1	5.7974043614	-11.5842724575	169.845468431	11	2950	#5097DF	1	32766	32766	27.11413955688477	65.14551544189453	3006.944580078125	19.323875427246097	5.159266145225611	11.5842724575
Aore	1	555.4030689954	1	407.5332859962	-15.60554944995	167.167309423	11	3200	#DF3D7A	1	6554.40641996	8192.558524975	25.873334884643555	139.0155487060547	2061.148193359375	47.22614288330078	0.7337613145230484	15.60554944995
Araki	NA	5.6302468072	1	12.7903522114	-15.6419932445	166.941044039	11	3200	#EFE699	1	32766	32766	25.89780044555664	139.73570251464844	2030.607421875	48.84967041015625	2.2717214092717226	15.6419932445
Banaba	2	16.0269889456	1	23.0022572888	-0.8866763086	169.539648867	8	2150	#4E57B9	1	32766	32766	27.21941375732422	16.455835342407227	1288.4412841796875	26.914831161499023	1.4352201381604477	0.8866763086
Belep	NA	1241.696983374	1	1698.1099297236	-19.7608036233375	163.6425423479375	11	3050	#F297A9	1	6553.96606998	8192.274875	24.336901545524597	208.70988178253177	1257.2012405395508	64.03372097015381	1.36757192170139	19.7608036233375
Bellona	2	152.5264160161	1	166.822602149	-11.295865171	159.799008437	11	3100	#C391E6	1	1.13627495	1.1500333333333332	26.913461685180664	76.30988311767578	2819.8134765625	27.60515594482422	1.093729247079345	11.295865171
Chuuk	2	8587.0885098655	1	22274.616630092	7.358816469590698	151.81976548001163	9	2300	#99DFB1	1	1338.0030857020408	1820.9758777694444	27.3640575852505	19.024251161619674	3265.7302388035973	20.837977431541265	2.593966116047509	7.358816469590698
Duff Islands	NA	193.7882947812	1	316.8136002626	-9.83839956835	167.14031926849998	11	3000	#D1C13B	1	1.036262475	1.0031166666666667	27.346752166748047	43.58097839355469	3391.9443359375	14.836073875427246	1.634843841421402	9.83839956835
East Futuna	2	855.2524194342	1	667.5884115561	-14.29562847575	-178.1099469575	9	2300	#B22BF0	1	6554.30989996	8192.466874975	26.66718482971191	87.08333587646484	2533.394287109375	26.359764099121097	0.7805747126652377	14.29562847575
Efate	2	36224.6783546653	5	11050.1495411407	-17.626902701408333	168.32011900724999	11	3200	#5FF1C0	5	1561.6562856809524	2049.2452187	25.27070140838623	169.92373275756836	1729.2513427734375	52.77921676635742	0.3050447938543966	17.626902701408333
Emae	NA	334.2094324227	1	316.8809427933	-17.1054055229	168.40209462299998	4	1000	#A1F89F	1	6554.4621	8192.738149925	25.39692115783691	163.90481567382812	1804.1861572265625	51.264041900634766	0.9481508062062014	17.1054055229
Epi	NA	4116.5005939542	6	1361.5238660418	-16.714900371833334	168.23502994733335	11	3200	#56A8B9	6	6554.50525996	8192.7569	25.561933517456055	154.83694458007812	1891.7314453125	49.7042236328125	0.3307478852405452	16.714900371833334
Erromango	2	8050.7307985136995	3	1449.5687533358998	-18.76491172515	169.204737835	11	3200	#BFF1B5	3	6554.65131992	8192.839199925	24.84593391418457	184.9674530029297	1565.615234375	53.40339660644531	0.18005430682187443	18.76491172515
Etarik	2	0.3517399694	1	3.1436771966	-17.2716882085	168.456229199	11	3200	#96D1CB	1	32766	32766	25.39692115783691	163.90481567382812	1804.1861572265625	51.264041900634766	8.937503468720095	17.2716882085
Futuna + Aniwa	2	58.3879488974	1	76.3591609006	-19.40348231685	169.88214060500002	4	1000	#92CCE9	1	32766	32766	24.5358304977417	194.16951751708984	1476.3529052734375	52.16761589050293	1.3077897467297444	19.40348231685
Gaua	NA	2402.116752378	4	581.9316388697	-14.2572103949	167.507267562	11	3200	#6DF232	4	1.406175	1.3342666666666667	26.46210479736328	109.48480224609376	2368.106689453125	37.799041748046875	0.2422578495793807	14.2572103949
Guam	1	28435.858547778	1	10959.5111744492	13.370865030085	144.7245943432	12	3500	#EB85D5	1	2730.887025	3276.96398	27.011760807037355	60.17692527770996	2003.4142639160157	49.51732406616211	0.3854116504354881	13.370865030085
Hawaii	4	1010491.854032406	1	104191.52844774601	21.154258249202897	-157.33585988869567	4	950	#BCB9F3	1	2521.156420497436	4681.434114271428	23.936608051908188	118.04370968583702	988.1239570949388	19.75984437914862	0.10310971635443252	21.154258249202897
Hereheretue	2	93.40793651519999	1	496.259124714	-19.86379129296	-144.95120680920002	4	1100	#923E18	1	6553.29186	8191.5441625	24.856489181518555	140.0803985595703	1900.4124755859375	23.17574119567871	5.312815411924288	19.86379129296
Hiu	1	348.0860972358	1	278.31291532520004	-13.1353197877	166.555650089	11	3200	#8BA3E5	1	0.177025	0.148	26.74402618408203	93.79839324951172	2561.36376953125	32.7253303527832	0.7995519428535685	13.1353197877
Kadavu	3	7918.8077305264005	1	5586.1043985696	-19.010338333553847	178.33682898026922	11	3130	#BE69B0	1	3642.0949221666665	4682.303971414286	24.772047189565804	174.54567190317007	1665.3103637695312	42.70744529137245	0.7054224055769902	19.010338333553847
Kanaky (New Caledonia main island)	3	10595709.14161179	29	1614001.8489847942	-21.548496976421198	165.635100407904	11	3050	#6D3FE8	29	543.9568292718232	718.3976664116789	23.36014037322998	226.46392028808592	1167.6703569335937	56.24894705200195	0.15232598662474012	21.548496976421198
Kapingamarangi	1	4.2097136208	1	49.3481682696	1.0691647252722223	154.7920500706111	4	1000	#7F3494	1	32766	32766	27.446208953857425	10.088061332702637	2091.227294921875	24.850982666015625	11.722452573916904	1.0691647252722223
Kosrae	3	1826.83196744	1	999.6938663743999	5.3303290596	163.00780424533332	8	2100	#4C5F97	1	3641.244299988889	4681.403628557143	27.368519465128585	12.529414176940918	3525.9243977864585	24.029882431030273	0.5472281436892655	5.3303290596
Lau	3	84533.8292407083	1	140918.0758230316	-18.03065504749527	-171.68379394130406	11	3130	#7D7596	1	643.5596137019608	852.1808272506494	25.252379224107074	152.66943967664565	1827.452890756968	39.41007255863499	1.667002158647875	18.03065504749527
Leveuka (Lomaviti)	NA	2911.5238744752	1	1937.1125166866	-17.7435196217875	178.7703543695	11	3130	#D6F3A9	1	2521.8609307538463	3278.01105996	25.27802085876465	153.77420043945312	1903.951416015625	42.46803283691406	0.6653259942907949	17.7435196217875
Lifou	2	10374.9945919317	1	2119.9036779999	-20.7970835283	167.12490240900001	11	3050	#6B9D95	1	6554.78672	8193.006574925	23.85439682006836	215.00830078125	1298.6845703125	55.76469421386719	0.20432817185740812	20.7970835283
Loh-Toga	1	1591.1805023698	1	1778.3886825985	-13.3041630412	166.6300968435	11	3200	#E6606A	1	2521.6787538076924	3277.81172997	26.74402618408203	93.79839324951172	2561.36376953125	32.7253303527832	1.117653641400133	13.3041630412
Lomaviti	NA	19634.1993533752	1	17298.7920430776	-18.306544732535485	109.67332647558065	11	3130	#D0C36E	1	1311.545079976	1725.4373947210527	25.117536790909305	160.46416891774822	1802.8243762600807	41.84464042417465	0.8810541103171526	18.306544732535485
