Language_ID	MonthlyMeanNetPrimaryProduction	NetPrimaryProductionPredictability
aari1239	1.868008893	0.468059216
abip1241	1.0713475375000001	0.428877749
abkh1244	2.2182366885	0.5177772924999999
abro1238	1.495133399	0.510984934
abui1241	3.058318408	0.433594487
abur1243	2.312129447	0.456098782
ache1246	2.147603855	0.359604093
achu1247	0.857196455	0.63244797975
acol1236	1.3694228585000001	0.44013579199999997
adam1253	1.571566159	0.453174655
adan1247	0.878261642	0.613404836
adze1240	3.491928113	0.379124219
afar1241	0.076132463	0.732225544
afri1274	1.492440711	0.443317177
agta1234	3.521992879	0.36635961
agus1235	3.144219368	0.442930255
aimo1244	3.018242503	0.404985522
ainu1240	1.4499387556666667	0.6521468326666666
ajie1238	3.6077798420000002	0.4444552735
ajyi1238	3.063330657	0.368095553
akab1249	3.237722144666667	0.408769218
akan1250	2.1912194292500002	0.46220373
akha1245	3.967039279	0.395840302
akka1240	0.009853771999999998	0.6966485979999999
akla1240	1.937740535	0.494566769
akur1238	3.532670021	0.4058727
aleu1260	0.6790720556666667	0.6915309546666667
alge1239	0.0555875715	0.8638622365
alla1248	2.527160679	0.4395947
alse1251	3.147721096666667	0.5589247046666667
alur1250	2.222198572	0.35817649
alya1239	0.134566453	0.619812135
amah1246	3.1830943605	0.3792509705
amas1236	0.250609205	0.587464951
amba1263	3.423693799	0.385228889
ambo1250	3.44395618	0.388978784
ambu1247	2.955965909	0.472544366
amha1245	1.324365942	0.577928935
amis1246	2.851315464	0.410525436
anci1244	0.5329952305000001	0.689662011
anfi1235	2.799431818	0.429083463
anga1288	3.122943429	0.429391803
anin1240	1.426607551	0.5077683875
anta1253	0.373165761	0.704522072
anua1242	1.306253454	0.437537843
anyi1245	2.422739625	0.448805928
aona1235	1.522894022	0.504140413
apin1244	1.584608704	0.454064921
arap1274	0.579739995	0.6836179025
araw1276	3.340841156	0.422396866
arbo1245	0.805570652	0.55211772
arik1262	0.631663785	0.666919307
ariz1237	0.216711957	0.839770755
ashe1269	-0.175666739	0.808142633
asho1236	2.033372447	0.433962869
assi1247	0.60814291	0.7257078770000001
asut1235	1.499845603	0.555428769
atay1247	3.1351714325	0.4300663135
atsa1241	1.113444911	0.517794527
atsu1245	1.2318283813333333	0.56131759
atti1239	2.644114377	0.436044232
avik1243	3.019786005	0.427268938
awet1244	2.531153314	0.411147241
ayab1239	1.901818799	0.442693748
baca1246	0.658702866	0.525053389
bafi1243	2.490260623	0.469918156
bafu1246	2.408862401	0.479795718
bagi1246	0.240144708	0.541159439
bain1259	1.191410171	0.488565187
baka1272	3.496105654	0.33757418
baka1277	1.249738537	0.40092437399999997
bakh1245	0.072103508	0.771878802
bako1249	2.589741848	0.46917848
bakw1243	2.720175601	0.395066458
bala1301	1.191410171	0.488565187
bali1274	3.153985715	0.350486291
bali1278	3.5994193865	0.3838973315
bamb1269	0.18202422499999998	0.567180037
bamu1253	2.935227273	0.464000981
bana1292	3.94242836	0.404746102
band1352	3.170806571	0.418109634
bank1259	-0.197669327	0.724353625
baou1238	1.383887105	0.494193931
bara1361	2.127172702	0.339388705
bari1284	1.2015605765	0.390945181
basa1282	1.117101525	0.5187625055
bash1264	0.937112262	0.681659817
bask1236	1.868008893	0.468059216
basq1248	2.091517603	0.514027872
bass1258	0.959820835	0.552150264
bata1285	2.555008646	0.466994029
bata1289	3.735326087	0.428179113
bata1301	3.678723736	0.355533284
bata1314	0.713379807	0.477300014
beav1236	1.364677001	0.6966540035
beja1238	-0.051087471	0.82099151925
bela1254	1.627081275	0.619553732
bell1243	0.905982893	0.6895911805
bemb1257	2.295699090333333	0.4229315083333333
bena1260	0.658702866	0.525053389
bena1262	2.451945405	0.410180016
bend1258	1.777890316	0.437256922
beng1280	1.08892663	0.535323055
bera1259	3.423693799	0.385228889
bero1242	1.113444911	0.517794527
bhil1251	0.537530879	0.606024601
bhoj1244	0.734288252	0.549504085
biaf1240	1.238274027	0.461922531
bidy1244	2.065747791	0.464720749
bila1255	3.61944642675	0.325197224
bili1260	0.20630607899999998	0.6472321329999999
bini1246	1.517755682	0.501692212
birh1242	1.237554694	0.486102727
biss1248	0.234358016	0.593254708
bita1251	2.067706275	0.479378465
bogh1241	0.843311512	0.47766994
boky1238	2.697381423	0.442515915
bola1250	3.04311457	0.429021877
bomw1238	3.113387079	0.28394071
bong1285	0.575495804	0.45367049
bong1287	3.359804739	0.441636071
bora1271	1.864315711	0.51517874
bord1248	2.5056659885	0.427662527
bori1243	1.81964396	0.485574876
boro1282	1.247056528	0.396600062
boto1242	2.271201828	0.410700357
boun1243	2.623666008	0.433770952
brib1243	3.1613692975	0.43221476
bube1242	1.964553202	0.465603505
budu1250	3.48591758	0.326292011
budu1265	-0.100795901	0.604774831
budz1238	2.560903752	0.344507531
buga1250	3.735939559	0.422783788
buki1249	3.482843379	0.42734752
buku1249	2.609337945	0.40963517
bulg1262	1.44872461	0.531639168
buli1254	0.596613174	0.473707869
bunu1267	3.363024951	0.422115945
bura1267	1.421119483	0.46516400066666663
bura1292	0.658702866	0.525053389
burj1242	1.033244812	0.560759595
buru1296	0.029425024499999997	0.937700753
bush1247	2.540780127	0.366404025
buyu1239	1.512769147	0.335064393
bwaa1238	2.866214265	0.338659276
bwai1242	3.147404442	0.408991832
cadd1256	2.311365982	0.42482586
cahu1264	0.3393973444	0.6919380852
calu1239	2.095093256	0.523359533
came1252	2.179069911	0.45792373
cane1242	1.3945177365	0.4201313295
carn1240	3.0794643959999997	0.401126713
caro1242	3.697844615	0.429806143
carr1249	1.4769778285	0.66217940325
casi1235	3.521992879	0.36635961
cata1286	1.671196045	0.515987337
ceba1235	1.083650686	0.462556382
cebu1242	1.642635797	0.499251345
cent1972	0.1335687525	0.722110183
cent1989	1.067730978	0.549477427
cent2004	2.421689723	0.4629603
cent2050	0.160696679	0.566997745
cent2084	2.199944417	0.465189165
cent2089	3.032379673	0.452092471
cent2100	3.739815958	0.360580276
cent2126	2.513990963	0.470993005
cent2127	0.47641582275	0.77841393675
cent2128	0.29302311400000003	0.8299164845
cent2131	0.978674654	0.645287866
cent2132	1.749252717	0.556842114
cent2136	1.94921875	0.6450148535
cent2140	1.636688993	0.513566554
cent2142	2.4520792289999997	0.49404505899999995
cent2150	2.974944417	0.44463878
cent2194	0.621121542	0.64968982
cent2292	2.79933918	0.404331762
chac1249	2.325741107	0.423676967
chac1251	2.136411518	0.37091368
chad1249	0.078494107	0.5779527035
chak1266	2.894911067	0.40011345
cham1312	3.697844615	0.429806143
cham1315	0.942764438	0.351526973
chec1245	1.192334177	0.600589239
chen1255	0.987649977	0.532397004
chen1266	0.184331769	0.832972212
cher1273	2.607849555	0.510400095
chey1247	0.4558825345	0.689124692
chha1249	0.804545466	0.532121668
chib1270	1.677272727	0.499850268
chic1270	2.221642632	0.511803192
chic1272	2.045361907	0.474331473
chig1238	2.283417737	0.471595601
chil1280	1.2726387513333333	0.6651340023333333
chim1301	1.980961331	0.4597372256666667
chin1286	2.9384490283333333	0.5570454836666667
chip1241	1.3149435936666667	0.660275453
chip1261	0.7865952325000001	0.7524719440000001
chiq1248	1.156417223	0.349685029
chit1248	1.165266798	0.60342581
choc1276	1.90370342	0.480525147
chok1245	1.792207572	0.369831496
chon1248	2.066298172	0.502628567
