Medium_only_merged_for_shared_language	lg_count	Latitude_abs_mean	Annual_precipitation_mean	Precipitation_seasonality_mean	Annual_temperature_mean	Temperature_seasonality_mean	EA033	Area_land	Shoreline	Settlement_date_grouping_finer	ratio_coastline_to_area	NPP_terra_mean	NPP_aqua_mean	environ_PC1	environ_PC2	environ_PC3
Malakula	33	0.13579937768221115	-0.40496183968466454	1.1428999377652131	0.05021105988826293	0.5909638824484214	-1.1217189492206532	1.2219638613846386	1.024818605605032	0.8794917323928652	-0.23591693909750536	-0.7511282191592792	-0.8027702575806747	-0.5990931673030853	-0.7536566437963982	-0.7803816272187766
Kanaky (New Caledonia main island)	29	0.819070692592142	-1.4992060240844138	1.585037989456258	-0.7622309089680027	1.628199582230776	-1.1217189492206532	2.3243368685805907	2.286909442330232	0.8794917323928652	-0.229519910295079	-0.7573623154357225	-0.8113528486492655	-1.4281355586843336	-0.1384679506889963	-1.169272474605878
Santo	24	-0.01714624904868204	-0.07363000599575134	0.7930121281113368	0.22780879398249587	0.25478699930844356	-1.1217189492206532	1.362311883903007	1.0530624222968368	0.8794917323928652	-0.2520441265081867	-0.6842927244093733	-0.7138970775137514	-0.3235369434044996	-0.8084239069688802	-0.48637079123508786
Ambrym	6	0.11642354892355863	-0.29016787583898956	0.943657421361862	0.09664211423215811	0.4860950865238566	-1.1217189492206532	-0.14003521709099173	-0.6865850762547635	0.8794917323928652	-0.28818151989538193	1.912427579041894	1.8922892897494183	0.3322359692909603	1.8375795109660675	-1.6030534461160104
Efate	5	0.2940715028278319	-0.6714856037509043	1.3276082934582458	-0.06325954172355877	0.8179952989424747	0.18027625969617633	0.7601920068956768	0.5754685336990837	0.8794917323928652	-0.2276233900903739	-0.44820695535365	-0.411135928859989	-0.6734518721861714	-0.3033039350827128	-1.0912252543114196
Pentecost	5	0.03956898234880059	-0.1191538732580264	0.7406331870749915	0.1813578856712214	0.3198512910626894	-1.1217189492206532	0.1930499292937955	-0.15460856066403908	0.8794917323928652	-0.24764238043150105	-0.2593391966509998	-0.18077803341204216	-0.21288098630788102	-0.2918484172700267	-0.6199152885710459
Tanna	5	0.5465442714806651	-1.0183122157657614	1.3906458119531393	-0.30078009918687476	1.1427001006087578	-1.1217189492206532	0.1500862774603744	-0.28939714081196777	0.8794917323928652	-0.2653400139383066	-0.8022788356793591	-0.871800291675777	-1.0600760681917674	-0.4902628924374534	-0.999320055668126
Viti Levu + Yasawa	4	0.29501487162481727	-0.44086400822333743	0.7122990713715349	-0.05367165428568767	0.5624790785817365	1.4822714686130058	1.549238527010447	1.2522222674622887	0.8794917323928652	-0.2517389254368664	-0.6807746037393152	-0.7092580201755193	-0.5881867841468968	-0.5485795354307097	-0.4141530656070626
Erromango	3	0.44974977516157855	-0.9202081207107204	1.3825449386760518	-0.22214012930700455	1.0396796049211547	0.18027625969617633	0.345878075365528	-0.12272932044306371	0.8794917323928652	-0.27148011835594527	-0.2593247030314396	-0.18076446737105772	-0.782186452426902	0.03991047150526951	-1.2288729709138189
Laguas_yan_gåni	3	-0.01860546952726182	-0.575666706565361	1.615692525259918	0.4749423391871702	-0.42734419459048034	-1.1217189492206532	0.7458246560022674	0.7188921462118808	1.1611023856221077	-0.20254954361563415	-0.6172771375419015	-0.6415534157252769	-0.28601828234734944	-0.9753715291478583	-1.2978334398842368
Maewo	3	-0.0330132519481956	0.00528922397992489	0.5840628233526528	0.2429697587490089	0.20128467553316093	-1.1217189492206532	0.05018317178951	-0.17548580100475844	0.8794917323928652	-0.22048570049545996	-0.259360774680837	-0.1808011728837339	-0.11561111872777677	-0.33804332489061634	-0.48081400383009293
Vanua Lava	3	-0.20104661594782117	0.3961327526843841	0.06053041376981533	0.4231955875498111	-0.15637947518437045	-1.1217189492206532	0.07182482318068392	-0.25325837954969704	0.8794917323928652	-0.24146037845785004	-0.25934823486328706	-0.18078958732927183	0.17379968466829543	-0.4590973889159608	-0.004804257921051997
Ambae	2	0.00271106215829429	-0.0343053782622116	0.6820582839451169	0.2257514673771696	0.2349580255797244	-1.1217189492206532	-0.27325036819670917	-0.7845017592218209	0.8794917323928652	-0.28047629679732655	1.9125104376222424	1.892373655702172	0.5206647078783898	1.7400628480668268	-1.3579672496597093
Duff + Reef Islands	2	-0.7225812518697934	1.691699004664892	-1.3369444860912132	0.6816593157519124	-0.9444333357856498	-1.1217189492206532	-0.674195364896893	-0.6168829504619283	0.8794917323928652	-0.10511855351125134	-0.25937626674960484	-0.18081397857867829	0.9345486391613549	-0.7432203527108379	1.366834588782876
Tungaru + Tuvalu	2	-1.9396811769124271	-0.43029024666426974	-0.3745147903842745	0.6219140113417694	-1.3177503802633532	0.18027625969617633	0.7390851618825801	1.377613537665566	0.03465977270513742	-0.09739841440348344	-0.2265180748445089	-0.11311430889710342	0.7410754250805037	-0.8760776094287678	-0.16789043725018707
Ureparapara	2	-0.2442126479161021	0.3783775705218811	0.1063378905363227	0.421280894532282	-0.14513551664476385	-1.1217189492206532	-0.5885576702205308	-0.7543215311987703	0.8794917323928652	-0.18005784160396415	-0.802325269629858	-0.8718564934613032	-0.023482326068885933	-1.072286954270099	0.17705097584403046
