rowname	EA033	Settlement_date_grouping_finer	environ_PC1	environ_PC2	Shoreline	mean_posterior_predict_nd
1	1	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2526343882464277
2	1	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2855199931422103
3	1	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.338178226706692
4	1	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.3938372723568064
5	1	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.4584870661943086
6	1	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.5343163243453801
7	1	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6015615752062924
8	1	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.6849570521400705
9	1	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.7574756993630896
10	1	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.8729607608568979
11	1	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.9819896981683511
12	2	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9208139653509019
13	2	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9367190675358605
14	2	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9667625714606569
15	2	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9980798849854238
16	2	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.0365761916900185
17	2	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.08120260487291
18	2	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.121180198204632
19	2	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.1710516200111192
20	2	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2131846491089124
21	2	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.2833615819434883
22	2	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.349024848975005
23	3	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8148594785038484
24	3	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8257874775018629
25	3	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.8492451993457867
26	3	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.873201739433594
27	3	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9036745155555564
28	3	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9389553950949778
29	3	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	0.9711303557954837
30	3	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.011905138690383
31	3	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.045254579721494
32	3	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.1023388888804968
33	3	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	1.1558981732418918
34	4	2	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	31960696.438188966
35	4	3	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	31508938.199001104
36	4	4	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	30641135.088145018
37	4	5	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	30344508.563746147
38	4	6	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	29843150.414484654
39	4	7	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	29131245.266704462
40	4	8	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	28995126.46608163
41	4	9	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	28860119.986116778
42	4	10	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	27952918.967258837
43	4	11	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	27902253.90920668
44	4	12	2.986396162605162e-18	6.938893903907228e-18	1.1115201950815232e-16	27301890.408826932
