diff_poisson_abs	diff_poisson	island_group_dropped	control	group	filename
0.970236363636364	0.00112000000000011	Ānewetak	none	SBZR	output/results/drop_one_out/SBZR_none///Ānewetak/diff_means.tsv
0.918361818181818	0.0025218181818182	Aotearoa	none	SBZR	output/results/drop_one_out/SBZR_none///Aotearoa/diff_means.tsv
0.959574545454545	0.00591272727272726	Banaba	none	SBZR	output/results/drop_one_out/SBZR_none///Banaba/diff_means.tsv
0.848272727272727	0.00244	Chuuk	none	SBZR	output/results/drop_one_out/SBZR_none///Chuuk/diff_means.tsv
0.962972727272727	-0.00523454545454556	East Futuna	none	SBZR	output/results/drop_one_out/SBZR_none///East_Futuna/diff_means.tsv
0.702	0.00436727272727272	Fiji	none	SBZR	output/results/drop_one_out/SBZR_none///Fiji/diff_means.tsv
0.939930909090909	-7.5636363636372e-4	Hawaii	none	SBZR	output/results/drop_one_out/SBZR_none///Hawaii/diff_means.tsv
0.976118181818182	0.00726727272727268	Hereheretue	none	SBZR	output/results/drop_one_out/SBZR_none///Hereheretue/diff_means.tsv
0.713832727272727	0.00275999999999989	Kanaky (main island + Loyalties)	none	SBZR	output/results/drop_one_out/SBZR_none///Kanaky_(main_island_+_Loyalties)/diff_means.tsv
0.955794545454546	5.27272727273841e-5	Kapingamarangi	none	SBZR	output/results/drop_one_out/SBZR_none///Kapingamarangi/diff_means.tsv
0.968683636363636	0.00516727272727273	Kosrae	none	SBZR	output/results/drop_one_out/SBZR_none///Kosrae/diff_means.tsv
0.699132727272727	0.00583454545454552	Laguas yan gåni (Guam + Northern Marianas)	none	SBZR	output/results/drop_one_out/SBZR_none///Laguas_yan_gåni_(Guam_+_Northern_Marianas)/diff_means.tsv
0.934303636363637	-0.00371454545454534	Luangiua + Nukumanu	none	SBZR	output/results/drop_one_out/SBZR_none///Luangiua_+_Nukumanu/diff_means.tsv
0.972905454545455	9.7090909090908e-4	Mangaia	none	SBZR	output/results/drop_one_out/SBZR_none///Mangaia/diff_means.tsv
0.976327272727273	0.00608000000000007	Mangareva	none	SBZR	output/results/drop_one_out/SBZR_none///Mangareva/diff_means.tsv
0.951132727272727	0.00192545454545447	Māngarongaro	none	SBZR	output/results/drop_one_out/SBZR_none///Māngarongaro/diff_means.tsv
0.886305454545455	-0.00157818181818174	Marquesas	none	SBZR	output/results/drop_one_out/SBZR_none///Marquesas/diff_means.tsv
0.968310909090909	-0.00496181818181818	Marutea	none	SBZR	output/results/drop_one_out/SBZR_none///Marutea/diff_means.tsv
0.950598181818182	-0.00692545454545465	Mo-ava-mo-iki (Bellona + Rennelle)	none	SBZR	output/results/drop_one_out/SBZR_none///Mo-ava-mo-iki_(Bellona_+_Rennelle)/diff_means.tsv
0.969607272727273	0.00475272727272733	Morane	none	SBZR	output/results/drop_one_out/SBZR_none///Morane/diff_means.tsv
0.969510909090909	-3.7272727272722e-4	Napuka	none	SBZR	output/results/drop_one_out/SBZR_none///Napuka/diff_means.tsv
0.971923636363636	0.00160727272727269	Ngā Pū Toru	none	SBZR	output/results/drop_one_out/SBZR_none///Ngā_Pū_Toru/diff_means.tsv
0.962298181818182	0.00688363636363641	Ngatik	none	SBZR	output/results/drop_one_out/SBZR_none///Ngatik/diff_means.tsv
0.971476363636364	0.00423636363636367	Niu + Tuvalu	none	SBZR	output/results/drop_one_out/SBZR_none///Niu_+_Tuvalu/diff_means.tsv
0.959218181818182	-0.00243272727272731	Niue	none	SBZR	output/results/drop_one_out/SBZR_none///Niue/diff_means.tsv
0.958892857142857	0.00111428571428567	None	none	SBZR	output/results/drop_one_out/SBZR_none///None/diff_means.tsv
0.95734	-0.00582727272727287	Nukuoro	none	SBZR	output/results/drop_one_out/SBZR_none///Nukuoro/diff_means.tsv
0.975458181818182	0.00707636363636375	Nukutaveke 59	none	SBZR	output/results/drop_one_out/SBZR_none///Nukutaveke_59/diff_means.tsv
0.970183636363636	-8.9272727272721e-4	Nukutaveke 61	none	SBZR	output/results/drop_one_out/SBZR_none///Nukutaveke_61/diff_means.tsv
0.952190909090909	-0.00130363636363628	Palau	none	SBZR	output/results/drop_one_out/SBZR_none///Palau/diff_means.tsv
