fit_score	Estimate	SE	control	group
elpd_waic	-89.11474765712275	5.619174591812941	spatial	SBZR
p_waic	11.285676526769405	2.0938709259102626	spatial	SBZR
waic	178.2294953142455	11.238349183625882	spatial	SBZR
