dropped_obs	mean_Rhat	mean_Bulk_ESS	mean_Tail_ESS	diff_predicted_vs_observed	diff_predicted_vs_observed_abs	b_Intercept_mean	b_environ_PC1_mean	b_Shoreline_mean	b_environ_PC2_mean	b_environ_PC1:Shoreline_mean	b_Shoreline:environ_PC2_mean	bsp_moEA033_mean	bsp_moSettlement_date_grouping_finer_mean	bsp_moEA033:Shoreline_mean	bsp_moSettlement_date_grouping_finer:Shoreline_mean	Intercept_mean	simo_moEA0331[1]_mean	simo_moEA0331[2]_mean	simo_moEA0331[3]_mean	simo_moSettlement_date_grouping_finer1[1]_mean	simo_moSettlement_date_grouping_finer1[2]_mean	simo_moSettlement_date_grouping_finer1[3]_mean	simo_moSettlement_date_grouping_finer1[4]_mean	simo_moSettlement_date_grouping_finer1[5]_mean	simo_moSettlement_date_grouping_finer1[6]_mean	simo_moSettlement_date_grouping_finer1[7]_mean	simo_moSettlement_date_grouping_finer1[8]_mean	simo_moSettlement_date_grouping_finer1[9]_mean	simo_moSettlement_date_grouping_finer1[10]_mean	simo_moEA033:Shoreline1[1]_mean	simo_moEA033:Shoreline1[2]_mean	simo_moEA033:Shoreline1[3]_mean	simo_moSettlement_date_grouping_finer:Shoreline1[1]_mean	simo_moSettlement_date_grouping_finer:Shoreline1[2]_mean	simo_moSettlement_date_grouping_finer:Shoreline1[3]_mean	simo_moSettlement_date_grouping_finer:Shoreline1[4]_mean	simo_moSettlement_date_grouping_finer:Shoreline1[5]_mean	simo_moSettlement_date_grouping_finer:Shoreline1[6]_mean	simo_moSettlement_date_grouping_finer:Shoreline1[7]_mean	simo_moSettlement_date_grouping_finer:Shoreline1[8]_mean	simo_moSettlement_date_grouping_finer:Shoreline1[9]_mean	simo_moSettlement_date_grouping_finer:Shoreline1[10]_mean	b_Intercept_sd	b_environ_PC1_sd	b_Shoreline_sd	b_environ_PC2_sd	b_environ_PC1:Shoreline_sd	b_Shoreline:environ_PC2_sd	bsp_moEA033_sd	bsp_moSettlement_date_grouping_finer_sd	bsp_moEA033:Shoreline_sd	bsp_moSettlement_date_grouping_finer:Shoreline_sd	Intercept_sd	simo_moEA0331[1]_sd	simo_moEA0331[2]_sd	simo_moEA0331[3]_sd	simo_moSettlement_date_grouping_finer1[1]_sd	simo_moSettlement_date_grouping_finer1[2]_sd	simo_moSettlement_date_grouping_finer1[3]_sd	simo_moSettlement_date_grouping_finer1[4]_sd	simo_moSettlement_date_grouping_finer1[5]_sd	simo_moSettlement_date_grouping_finer1[6]_sd	simo_moSettlement_date_grouping_finer1[7]_sd	simo_moSettlement_date_grouping_finer1[8]_sd	simo_moSettlement_date_grouping_finer1[9]_sd	simo_moSettlement_date_grouping_finer1[10]_sd	simo_moEA033:Shoreline1[1]_sd	simo_moEA033:Shoreline1[2]_sd	simo_moEA033:Shoreline1[3]_sd	simo_moSettlement_date_grouping_finer:Shoreline1[1]_sd	simo_moSettlement_date_grouping_finer:Shoreline1[2]_sd	simo_moSettlement_date_grouping_finer:Shoreline1[3]_sd	simo_moSettlement_date_grouping_finer:Shoreline1[4]_sd	simo_moSettlement_date_grouping_finer:Shoreline1[5]_sd	simo_moSettlement_date_grouping_finer:Shoreline1[6]_sd	simo_moSettlement_date_grouping_finer:Shoreline1[7]_sd	simo_moSettlement_date_grouping_finer:Shoreline1[8]_sd	simo_moSettlement_date_grouping_finer:Shoreline1[9]_sd	simo_moSettlement_date_grouping_finer:Shoreline1[10]_sd	b_Intercept_min	b_environ_PC1_min	b_Shoreline_min	b_environ_PC2_min	b_environ_PC1:Shoreline_min	b_Shoreline:environ_PC2_min	bsp_moEA033_min	bsp_moSettlement_date_grouping_finer_min	bsp_moEA033:Shoreline_min	bsp_moSettlement_date_grouping_finer:Shoreline_min	Intercept_min	simo_moEA0331[1]_min	simo_moEA0331[2]_min	simo_moEA0331[3]_min	simo_moSettlement_date_grouping_finer1[1]_min	simo_moSettlement_date_grouping_finer1[2]_min	simo_moSettlement_date_grouping_finer1[3]_min	simo_moSettlement_date_grouping_finer1[4]_min	simo_moSettlement_date_grouping_finer1[5]_min	simo_moSettlement_date_grouping_finer1[6]_min	simo_moSettlement_date_grouping_finer1[7]_min	simo_moSettlement_date_grouping_finer1[8]_min	simo_moSettlement_date_grouping_finer1[9]_min	simo_moSettlement_date_grouping_finer1[10]_min	simo_moEA033:Shoreline1[1]_min	simo_moEA033:Shoreline1[2]_min	simo_moEA033:Shoreline1[3]_min	simo_moSettlement_date_grouping_finer:Shoreline1[1]_min	simo_moSettlement_date_grouping_finer:Shoreline1[2]_min	simo_moSettlement_date_grouping_finer:Shoreline1[3]_min	simo_moSettlement_date_grouping_finer:Shoreline1[4]_min	simo_moSettlement_date_grouping_finer:Shoreline1[5]_min	simo_moSettlement_date_grouping_finer:Shoreline1[6]_min	simo_moSettlement_date_grouping_finer:Shoreline1[7]_min	simo_moSettlement_date_grouping_finer:Shoreline1[8]_min	simo_moSettlement_date_grouping_finer:Shoreline1[9]_min	simo_moSettlement_date_grouping_finer:Shoreline1[10]_min	b_Intercept_max	b_environ_PC1_max	b_Shoreline_max	b_environ_PC2_max	b_environ_PC1:Shoreline_max	b_Shoreline:environ_PC2_max	bsp_moEA033_max	bsp_moSettlement_date_grouping_finer_max	bsp_moEA033:Shoreline_max	bsp_moSettlement_date_grouping_finer:Shoreline_max	Intercept_max	simo_moEA0331[1]_max	simo_moEA0331[2]_max	simo_moEA0331[3]_max	simo_moSettlement_date_grouping_finer1[1]_max	simo_moSettlement_date_grouping_finer1[2]_max	simo_moSettlement_date_grouping_finer1[3]_max	simo_moSettlement_date_grouping_finer1[4]_max	simo_moSettlement_date_grouping_finer1[5]_max	simo_moSettlement_date_grouping_finer1[6]_max	simo_moSettlement_date_grouping_finer1[7]_max	simo_moSettlement_date_grouping_finer1[8]_max	simo_moSettlement_date_grouping_finer1[9]_max	simo_moSettlement_date_grouping_finer1[10]_max	simo_moEA033:Shoreline1[1]_max	simo_moEA033:Shoreline1[2]_max	simo_moEA033:Shoreline1[3]_max	simo_moSettlement_date_grouping_finer:Shoreline1[1]_max	simo_moSettlement_date_grouping_finer:Shoreline1[2]_max	simo_moSettlement_date_grouping_finer:Shoreline1[3]_max	simo_moSettlement_date_grouping_finer:Shoreline1[4]_max	simo_moSettlement_date_grouping_finer:Shoreline1[5]_max	simo_moSettlement_date_grouping_finer:Shoreline1[6]_max	simo_moSettlement_date_grouping_finer:Shoreline1[7]_max	simo_moSettlement_date_grouping_finer:Shoreline1[8]_max	simo_moSettlement_date_grouping_finer:Shoreline1[9]_max	simo_moSettlement_date_grouping_finer:Shoreline1[10]_max	b_Intercept_straddle_zero	b_environ_PC1_straddle_zero	b_Shoreline_straddle_zero	b_environ_PC2_straddle_zero	b_environ_PC1:Shoreline_straddle_zero	b_Shoreline:environ_PC2_straddle_zero	bsp_moEA033_straddle_zero	bsp_moSettlement_date_grouping_finer_straddle_zero	bsp_moEA033:Shoreline_straddle_zero	bsp_moSettlement_date_grouping_finer:Shoreline_straddle_zero	Intercept_straddle_zero	simo_moEA0331[1]_straddle_zero	simo_moEA0331[2]_straddle_zero	simo_moEA0331[3]_straddle_zero	simo_moSettlement_date_grouping_finer1[1]_straddle_zero	simo_moSettlement_date_grouping_finer1[2]_straddle_zero	simo_moSettlement_date_grouping_finer1[3]_straddle_zero	simo_moSettlement_date_grouping_finer1[4]_straddle_zero	simo_moSettlement_date_grouping_finer1[5]_straddle_zero	simo_moSettlement_date_grouping_finer1[6]_straddle_zero	simo_moSettlement_date_grouping_finer1[7]_straddle_zero	simo_moSettlement_date_grouping_finer1[8]_straddle_zero	simo_moSettlement_date_grouping_finer1[9]_straddle_zero	simo_moSettlement_date_grouping_finer1[10]_straddle_zero	simo_moEA033:Shoreline1[1]_straddle_zero	simo_moEA033:Shoreline1[2]_straddle_zero	simo_moEA033:Shoreline1[3]_straddle_zero	simo_moSettlement_date_grouping_finer:Shoreline1[1]_straddle_zero	simo_moSettlement_date_grouping_finer:Shoreline1[2]_straddle_zero	simo_moSettlement_date_grouping_finer:Shoreline1[3]_straddle_zero	simo_moSettlement_date_grouping_finer:Shoreline1[4]_straddle_zero	simo_moSettlement_date_grouping_finer:Shoreline1[5]_straddle_zero	simo_moSettlement_date_grouping_finer:Shoreline1[6]_straddle_zero	simo_moSettlement_date_grouping_finer:Shoreline1[7]_straddle_zero	simo_moSettlement_date_grouping_finer:Shoreline1[8]_straddle_zero	simo_moSettlement_date_grouping_finer:Shoreline1[9]_straddle_zero	simo_moSettlement_date_grouping_finer:Shoreline1[10]_straddle_zero	Intercept§Estimate	environ_PC1§Estimate	Shoreline§Estimate	environ_PC2§Estimate	environ_PC1:Shoreline§Estimate	Shoreline:environ_PC2§Estimate	moEA033§Estimate	moSettlement_date_grouping_finer§Estimate	moEA033:Shoreline§Estimate	moSettlement_date_grouping_finer:Shoreline§Estimate	Intercept§Est.Error	environ_PC1§Est.Error	Shoreline§Est.Error	environ_PC2§Est.Error	environ_PC1:Shoreline§Est.Error	Shoreline:environ_PC2§Est.Error	moEA033§Est.Error	moSettlement_date_grouping_finer§Est.Error	moEA033:Shoreline§Est.Error	moSettlement_date_grouping_finer:Shoreline§Est.Error	Intercept§l-95% CI	environ_PC1§l-95% CI	Shoreline§l-95% CI	environ_PC2§l-95% CI	environ_PC1:Shoreline§l-95% CI	Shoreline:environ_PC2§l-95% CI	moEA033§l-95% CI	moSettlement_date_grouping_finer§l-95% CI	moEA033:Shoreline§l-95% CI	moSettlement_date_grouping_finer:Shoreline§l-95% CI	Intercept§u-95% CI	environ_PC1§u-95% CI	Shoreline§u-95% CI	environ_PC2§u-95% CI	environ_PC1:Shoreline§u-95% CI	Shoreline:environ_PC2§u-95% CI	moEA033§u-95% CI	moSettlement_date_grouping_finer§u-95% CI	moEA033:Shoreline§u-95% CI	moSettlement_date_grouping_finer:Shoreline§u-95% CI	Intercept§Rhat	environ_PC1§Rhat	Shoreline§Rhat	environ_PC2§Rhat	environ_PC1:Shoreline§Rhat	Shoreline:environ_PC2§Rhat	moEA033§Rhat	moSettlement_date_grouping_finer§Rhat	moEA033:Shoreline§Rhat	moSettlement_date_grouping_finer:Shoreline§Rhat	Intercept§Bulk_ESS	environ_PC1§Bulk_ESS	Shoreline§Bulk_ESS	environ_PC2§Bulk_ESS	environ_PC1:Shoreline§Bulk_ESS	Shoreline:environ_PC2§Bulk_ESS	moEA033§Bulk_ESS	moSettlement_date_grouping_finer§Bulk_ESS	moEA033:Shoreline§Bulk_ESS	moSettlement_date_grouping_finer:Shoreline§Bulk_ESS	Intercept§Tail_ESS	environ_PC1§Tail_ESS	Shoreline§Tail_ESS	environ_PC2§Tail_ESS	environ_PC1:Shoreline§Tail_ESS	Shoreline:environ_PC2§Tail_ESS	moEA033§Tail_ESS	moSettlement_date_grouping_finer§Tail_ESS	moEA033:Shoreline§Tail_ESS	moSettlement_date_grouping_finer:Shoreline§Tail_ESS	Intercept§straddle_zero_95	environ_PC1§straddle_zero_95	Shoreline§straddle_zero_95	environ_PC2§straddle_zero_95	environ_PC1:Shoreline§straddle_zero_95	Shoreline:environ_PC2§straddle_zero_95	moEA033§straddle_zero_95	moSettlement_date_grouping_finer§straddle_zero_95	moEA033:Shoreline§straddle_zero_95	moSettlement_date_grouping_finer:Shoreline§straddle_zero_95	dropped_observation_prediction_diff_mean
None	1.0000510974119652	67114.25625415181	65871.12126681604	0.001114285714285675	0.9588928571428571	0.145663051907014	0.190915882733107	1.1233543536681	-0.218760797141953	-0.123281815320577	-0.0157971966731416	-0.151079782445582	-0.0167563791685752	-0.908420542931034	0.290958557394828	0.200616687237597	0.320062149585526	0.289579639993037	0.390358210928562	0.101328024432131	0.0984124169183565	0.0908185024846541	0.0917433739392022	0.0906917418456683	0.09092633267545	0.0927041998013353	0.114746141594299	0.104474910944671	0.124154351087578	0.605740834606897	0.197063710270558	0.197195453594347	0.0704447326091095	0.0942085044417939	0.0801221579709455	0.075105432798739	0.0757071151911488	0.0634362493150628	0.151019554862891	0.0816084590492613	0.260634881325138	0.0477129105513943	0.413883798214587	0.15861606076379	0.451509499558022	0.185992350179438	0.13492266725603	0.144914098910424	0.369865926205216	0.0813346911068281	0.272372343271476	0.0560262357696834	0.388445231505574	0.225191649569487	0.216994801249461	0.256059508325569	0.0920176864030703	0.0914257173613785	0.0860318048728249	0.0873979612903298	0.0868180920603845	0.0841569950691473	0.0848665926056969	0.107922507580277	0.0950810995918352	0.118629990420771	0.159447998607024	0.123902612496786	0.145495639862898	0.0619498194834289	0.0790440210512934	0.06993765578847	0.0664584762115671	0.0675156650204458	0.0575447156611752	0.11125355583767	0.0736183763037826	0.11307588410344	0.0435654831675243	-2.31826	-0.530398	-1.08391	-1.16682	-0.654249	-0.653136	-2.86295	-0.470653	-5.52134	0.0919275	-2.13415	2.5103e-05	1.8501e-06	1.73458e-05	8.10825e-07	3.93657e-06	8.65713e-06	1.32474e-06	1.78687e-06	1.54806e-06	1.02925e-06	4.53771e-06	7.02697e-07	8.14261e-08	0.0570367	9.14298e-06	8.74035e-06	1.05843e-06	4.36016e-07	6.79853e-08	1.72967e-06	6.61416e-06	3.48181e-06	6.31017e-06	5.79911e-07	0.000136497	7.88617e-08	1.83853	0.858588	3.00516	0.600994	0.48363	0.550506	5.86607	0.325887	-0.273867	0.665264	1.87566	0.997627	0.990113	0.996481	0.746662	0.786194	0.706333	0.715252	0.763213	0.680699	0.701717	0.806724	0.72631	0.852639	0.995063	0.886731	0.843398	0.523557	0.668906	0.70105	0.564827	0.511265	0.506003	0.788095	0.58565	0.739383	0.463402	yes	yes	yes	yes	yes	yes	yes	yes	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	0.145956670068462	0.19090510671934	1.12114161646372	-0.217856932651852	-0.122899628926464	-0.0168193809663515	-0.148434769806025	-0.0171875999432086	-0.910321413025862	0.291621519619828	0.414330989869118	0.158361319396907	0.453552205525104	0.185675807711569	0.134732345378096	0.144686077621481	0.372464835399839	0.0814539813980275	0.273174985112963	0.0562920173287389	-0.665762575	-0.120290175	0.206668925	-0.5793311	-0.383322625	-0.3107575	-0.794954	-0.1953365	-1.5868715	0.19071385	0.980393075	0.501069	1.98518375	0.149762175	0.142459525	0.257360425	0.710329325	0.125902125	-0.541432875	0.411023275	1.00003517200731	0.999991024958582	0.999993634326499	1.000002531314	1.00004595894463	1.0000366059805	1.00017041277714	1.00005029959639	1.00014010510853	1.00004522910606	50165.0929776295	113336.7151029	67460.8533371581	66821.2805085166	96414.7119102669	88588.0162338503	42235.401710321	42699.4651457375	45244.5445995999	58176.4810155382	70224.3168794054	87909.5650562153	69857.4687919704	80003.2523589645	85928.6364760457	80176.5619378844	28844.3183708684	59572.0295777451	30801.1519826656	65393.9112363956	yes	yes	no	yes	yes	yes	yes	yes	no	no	0.9588928571428571
Vanuatu + Temotu	1.000044854032569	64859.36838589398	67748.23636817175	0.0016854545454545737	0.6450018181818182	-0.17789672012884	0.0103831908460978	-0.176819250340172	0.0301567984297552	-0.242066996532844	0.135654471924024	-0.0267825491444348	0.0255215011250967	-0.137060225841565	0.165159960826759	-0.0188787992206638	0.295725517518428	0.287824221768219	0.416450259877076	0.108248833721186	0.104868190954652	0.0978862108775643	0.0974457341393226	0.0974923584838095	0.093212373273334	0.0989279215039727	0.095806360596984	0.103796120307523	0.102315896529326	0.323980838933279	0.280432402957541	0.395586756928829	0.0779862610028214	0.0873338260340846	0.0843598103764115	0.082732851513803	0.0829724308243886	0.0762430354530569	0.120825418105352	0.0794649267713333	0.211956690077041	0.0961247474652086	0.348729737997034	0.165366856644887	0.360367897799806	0.187625049710411	0.126649491682247	0.144188980812019	0.331102706419511	0.0623392711749958	0.299354570260273	0.0576423327829751	0.327667890741351	0.225304092551144	0.224077673098665	0.254568402633623	0.0965064386850415	0.0936106722572993	0.0889928834261654	0.0894176138259196	0.0890128917818183	0.0845931962875814	0.0902060980447439	0.0914915038401766	0.0925474531603893	0.0917813836608797	0.226643165165208	0.213465661083719	0.246659206773904	0.0702766093897049	0.0772041737760953	0.0765846120428942	0.0752358344689065	0.0755746815457902	0.0698429479238438	0.101276792398144	0.0736713573682544	0.126424809600479	0.084800881805916	-2.36838	-0.675617	-1.93345	-0.784442	-0.73692	-0.540195	-3.73977	-0.297301	-2.66076	-0.0843052	-2.01869	3.98358e-05	2.89193e-06	2.75436e-05	1.98866e-06	1.40921e-05	1.17602e-06	3.2805e-06	1.50412e-06	1.60245e-06	4.14987e-07	1.87282e-06	8.96785e-07	4.20294e-06	3.0263e-06	4.3143e-06	3.72405e-05	1.08017e-06	6.60009e-07	4.2936e-06	5.62205e-07	9.03668e-07	3.57466e-06	4.67438e-06	2.07913e-06	1.33328e-06	1.18845e-05	1.1955	0.678524	2.1145	0.823699	0.373346	0.731393	3.27178	0.301748	2.83833	0.523666	1.20683	0.994843	0.990899	0.999779	0.730558	0.776412	0.70249	0.739634	0.665987	0.670276	0.710294	0.731846	0.733267	0.644223	0.994297	0.994522	0.994183	0.602867	0.67753	0.634573	0.582976	0.701978	0.625448	0.700966	0.656024	0.736685	0.717433	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	-0.178219801470357	0.00987847457444241	-0.177748229001722	0.0308110118977966	-0.241966418610932	0.135732883386475	-0.0245179595622097	0.0254617812240774	-0.137833119283073	0.165106518559978	0.348893359329989	0.165935573077561	0.36053090872762	0.187618628321482	0.127256426873009	0.144360964421426	0.336660222704539	0.0623021846071515	0.301958084223688	0.0576977882374504	-0.93086915	-0.3148601	-0.864236225	-0.331962075	-0.4829643	-0.15485185	-0.7082991	-0.1032364	-0.792697275	0.0602962	0.4588801	0.3360842	0.5845532	0.405296025	0.0148454549999999	0.4108555	0.63234095	0.143962475	0.40803675	0.28709405	1.00003411008746	1.00006767828081	1.00003852920605	1.00001302255559	1.00001989439279	1.00008032997034	1.00005578464551	1.0000564641703	1.00002562671276	1.00005710030408	58827.8391997887	92123.9813328342	63432.1508683365	80798.6971353457	83527.1344797187	73972.2445499795	41052.9949302276	57096.8930207213	41108.4299511291	56653.3183908584	65123.1948149973	84131.6419641233	68031.135389259	79219.3043700907	87221.4080287926	79621.5104401196	39835.6161192336	67092.146949761	39382.0584051948	67824.3472001456	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	0.6450018181818182
Kanaky (main island + Loyalties)	1.0000594107306173	61577.0077605274	66295.07223798316	0.002759999999999886	0.7138327272727272	0.421152551988483	0.340494600604258	1.47264354722819	-0.318485565308601	0.196075314521262	-0.210558683794638	-0.216957839314577	0.00761251374797465	-0.957878063568966	0.259929295046552	0.237111394250343	0.402283462638453	0.231161225268987	0.366555314523029	0.103411739973985	0.101347207659751	0.0981377346571186	0.0987491344248386	0.0989175974138297	0.0938114393786461	0.0951061980158769	0.100617633863125	0.100438758207053	0.109462559418879	0.639386996237069	0.16914089181573	0.191472113324432	0.0902665239504483	0.09257510380913	0.0731710563322557	0.069196105629826	0.0696818492616686	0.069226322004509	0.157725986527604	0.101741962726631	0.224713697885374	0.0517013904393166	0.496840936152501	0.164725819135337	0.509368539214287	0.200946187755523	0.182672498747771	0.173550808104749	0.400387294091064	0.0762598067682756	0.294416814558615	0.0604067514198593	0.467594641453801	0.247825363251949	0.196131255906913	0.249114690859413	0.0914642712303404	0.0909742142956556	0.0908473410281531	0.0916810004748608	0.0923247566020638	0.0858658626287657	0.086898553730466	0.0942306745445143	0.09131122231203	0.108645223400759	0.155861021914189	0.114714861796808	0.143162449404218	0.0776629817877505	0.079181700092629	0.0662191676614827	0.0635853864353847	0.0641726938187102	0.0631643107570355	0.116353329862641	0.0885917449390895	0.122607051448418	0.0473012591558705	-1.8958	-0.30127	-1.09489	-1.21477	-0.498353	-0.938085	-2.44581	-0.421711	-5.9536	0.0164177	-1.91231	1.55325e-05	2.93814e-06	1.79151e-05	6.11541e-06	6.51997e-06	3.70951e-07	2.46216e-06	3.614e-06	2.22565e-07	7.80965e-06	1.09774e-06	6.95967e-07	3.65789e-06	0.00030755	3.50398e-06	6.70583e-06	2.11057e-06	3.38643e-06	4.1708e-06	1.59712e-06	1.3326e-07	7.13423e-06	1.55104e-06	5.0259e-07	2.80574e-05	2.95415e-07	2.45924	0.982033	3.46689	0.603857	1.04048	0.476178	6.27317	0.32075	-0.260295	0.556197	2.15822	0.997973	0.991015	0.998119	0.760296	0.659918	0.725767	0.718847	0.822381	0.709424	0.747012	0.771284	0.754992	0.790817	0.997735	0.996481	0.839641	0.592082	0.620161	0.58277	0.573896	0.57543	0.530785	0.741824	0.728155	0.733399	0.391428	yes	yes	yes	yes	yes	yes	yes	yes	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	0.418781844793475	0.340384435722197	1.4714516958991	-0.318046301739428	0.195748671528386	-0.210620381746641	-0.216545782289383	0.00767944534133792	-0.958874560577586	0.260112462501034	0.495742387809615	0.165267997978241	0.511986167830844	0.201633341302594	0.182553758428388	0.1741044441406	0.394951514573062	0.0762237719528748	0.292596716793057	0.0603784136120046	-0.478864275	0.0187488225000001	0.46577125	-0.719245325	-0.1511021	-0.5695263	-0.902636875	-0.1605072	-1.655218	0.14863375	1.44893	0.667712775	2.47169125	0.0766414574999997	0.565912875	0.1149662	0.6571624	0.1419695	-0.5502236	0.38589925	1.00005551904656	1.00005544689971	1.00006763201488	1.00001228108513	1.00005363417055	0.999998300865804	1.00011930344662	1.00001164705902	1.00009428979612	1.00012605292178	46326.9251012596	93771.429959357	59331.1895070078	63562.0974669017	87902.0624712377	78777.9395434235	38678.6269935782	48244.144093836	41470.1698661897	57705.4926024828	71743.426141498	87560.0197066316	73441.4165048098	79208.8804849211	83595.0511233855	76996.2550189904	30100.0143706944	56634.4746018451	34192.9188330134	69478.2655940422	yes	no	no	yes	yes	yes	yes	yes	no	no	0.7138327272727272
Fiji	1.0000994864593349	49357.980268911095	58639.1345055356	0.004367272727272725	0.702	0.292076188904234	0.303854865439629	0.999369712980409	-0.218305188973133	0.120573822875071	-0.160487871262226	-0.0780514234439124	-0.0312449036559164	-0.804326523437931	0.330124329293103	0.166525855590353	0.331121391582709	0.26130367632428	0.407574931175499	0.101136908346207	0.094192363108881	0.0886766616044209	0.0886361481079228	0.0882488945978476	0.0909468770614376	0.0943089128357898	0.11803540555004	0.106191149229828	0.129626678644668	0.579677150083603	0.198814237515397	0.221508616494516	0.0714969827023526	0.0707823350863681	0.0583409421178119	0.0551842170408003	0.0551406997780331	0.0540486848836202	0.138336524432569	0.081506354911545	0.366779392433655	0.048383864732418	0.428371324724504	0.163645614146028	0.451104739776901	0.197887816034055	0.173293090920426	0.169001832273777	0.382376317239819	0.0822662983854541	0.281677549078216	0.060102775230704	0.400835011938426	0.23334975178718	0.208424443396345	0.259474179655157	0.0910099475241163	0.086762583627423	0.0832607212463816	0.0838379168329507	0.084826721096175	0.0835491880759704	0.0860056904557039	0.108773455196296	0.0953790051058052	0.120256867280032	0.173353174622364	0.136195877936725	0.159418515261519	0.0615217179874859	0.0623887429502565	0.0534447563211042	0.0512949606524403	0.0508144007805437	0.0488273756112153	0.100485857927963	0.0721044261038141	0.114962197980434	0.0441181802015531	-1.75647	-0.416743	-1.57157	-1.1783	-0.56308	-0.961722	-2.20779	-0.47481	-3.63689	0.117031	-1.88969	2.85436e-05	2.25863e-06	7.66024e-06	2.99024e-06	1.83177e-06	1.03581e-06	5.71777e-07	4.21436e-06	1.24796e-06	9.19368e-07	4.3691e-07	1.98289e-06	2.87504e-06	0.000241849	2.0289e-06	5.32569e-06	3.29269e-06	7.02651e-07	9.02429e-07	2.08658e-07	2.39993e-06	1.43753e-06	1.21957e-06	6.74198e-07	0.000578432	1.30937e-07	2.39997	1.0537	2.88724	0.563071	1.04409	0.528852	3.7514	0.29904	-0.0674859	0.73648	2.04631	0.996852	0.994696	0.999738	0.82232	0.695195	0.70048	0.719235	0.666971	0.715458	0.716649	0.790715	0.752971	0.793068	0.99888	0.982206	0.850994	0.451279	0.526481	0.476424	0.459978	0.506383	0.462598	0.723831	0.647573	0.799988	0.399879	yes	yes	yes	yes	yes	yes	yes	yes	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	0.294097089103576	0.304353092841436	0.995818738629194	-0.216543149999971	0.121886801284116	-0.161934834016235	-0.068834408638666	-0.0321479178349264	-0.811369111393103	0.331065198103448	0.426669111145357	0.163921559106903	0.450896990876903	0.198396419483429	0.173328284113948	0.169229931562521	0.46965872239564	0.0822397678249002	0.35291784069812	0.0600768381559885	-0.523511025	-0.0165276874999997	0.0784416050000005	-0.6041424	-0.20670815	-0.50766405	-0.7251936	-0.2079232	-1.509012	0.2240259	1.176882	0.62835635	1.84967075	0.174679774999999	0.472900425	0.15545405	0.834297049999999	0.115100325	-0.409323525	0.45908715	1.00010881650917	1.00008082282055	1.00004604127145	1.00007869181835	1.00008607999128	1.00004231024283	1.00015900072127	1.00012890962114	1.00010805915385	1.00015613244345	42299.3964635782	83485.6460237547	56939.0934271826	56759.4868247104	62290.0370086276	56580.72143074	24563.0071081147	39954.0313829028	25910.2316505855	44798.1513689145	64077.0823168123	86020.0802927053	68481.5760211856	76526.3287743572	79662.0934239303	65523.1392693029	15688.6842404526	57648.8610255302	16344.3479437375	56419.151747342	yes	yes	no	yes	yes	yes	yes	yes	no	no	0.702
