group	mean	sd	min	max	diff_poisson	diff_poisson_abs	lg_count	control
Malakula	27.8392	7.036028278041024	6	61	5.160799999999998	5.160799999999998	33	phylo
Kanaky (New Caledonia main island)	31.3934	7.76039037715762	7	64	-2.3933999999999997	2.3933999999999997	29	phylo
Santo	20.331	5.835824250649471	4	46	3.6690000000000005	3.6690000000000005	24	phylo
Ambrym	4.4409	2.574445564970582	0	19	1.5591	1.5591	6	phylo
Efate	5.2785	3.0040706040337004	0	20	-0.2785000000000002	0.2785000000000002	5	phylo
Pentecost	5.2649	2.590289356403062	0	19	-0.2648999999999999	0.2648999999999999	5	phylo
Tanna	2.3916	1.8070904785316535	0	13	2.6084	2.6084	5	phylo
Viti Levu + Yasawa	2.6366	2.0011848775391563	0	14	1.3634	1.3634	4	phylo
Erromango	1.6856	1.4279203533998546	0	10	1.3144	1.3144	3	phylo
Laguas yan gåni (Guam + Northern Marianas)	4.4934	2.7717367646422066	0	21	-1.4934000000000003	1.4934000000000003	3	phylo
Maewo	3.6028	2.075539194111889	0	16	-0.6027999999999998	0.6027999999999998	3	phylo
Vanua Lava	2.957	1.902449192828321	0	13	0.04300000000000015	0.04300000000000015	3	phylo
Ambae	2.9061	1.9962167412702991	0	16	-0.9060999999999999	0.9060999999999999	2	phylo
Duff + Reef Islands	1.2537	1.3580577094049455	0	10	0.7463	0.7463	2	phylo
Tungaru + Tuvalu	1.7685	1.5656158102441764	0	16	0.23150000000000004	0.23150000000000004	2	phylo
Ureparapara	1.416	1.267874106713694	0	10	0.5840000000000001	0.5840000000000001	2	phylo
Aneityum	1.4646	1.340718685130951	0	10	-0.4645999999999999	0.4645999999999999	1	phylo
Anuta	0.7742	1.1492373273799736	0	11	0.2258	0.2258	1	phylo
Aore	2.3942	1.6433734900024293	0	13	-1.3942	1.3942	1	phylo
Aotearoa	0.8295	1.2708230597234662	0	12	0.17049999999999998	0.17049999999999998	1	phylo
Avaiki Nui (south)	0.8541	0.9772966289055166	0	8	0.14590000000000003	0.14590000000000003	1	phylo
Chuuk	1.9069	1.6013396950309726	0	12	-0.9069	0.9069	1	phylo
East Futuna	0.9174	1.0680315113005387	0	8	0.0826	0.0826	1	phylo
Futuna + Aniwa	1.7883	1.6945708208943946	0	14	-0.7883	0.7883	1	phylo
Hawaii	0.2938	0.5989302394629731	0	6	0.7061999999999999	0.7061999999999999	1	phylo
Hiu	1.3693	1.2463036697706256	0	9	-0.36929999999999996	0.36929999999999996	1	phylo
Kadavu	1.0087	1.124700317898287	0	8	-0.00869999999999993	0.00869999999999993	1	phylo
Kapingamarangi	0.9345	1.1006956450764713	0	8	0.0655	0.0655	1	phylo
Kosrae	0.5596	0.8105020242745451	0	6	0.4404	0.4404	1	phylo
Lau	1.9058	1.6603620208267895	0	14	-0.9057999999999999	0.9057999999999999	1	phylo
Lifou	1.5249	1.34050724950244	0	10	-0.5248999999999999	0.5248999999999999	1	phylo
Loh-Toga	3.5054	2.1313434970718004	0	17	-2.5054	2.5054	1	phylo
Luangiua	0.9813	1.1374004035377325	0	8	0.01870000000000005	0.01870000000000005	1	phylo
Mangareva	1.0523	1.1381978120809857	0	8	-0.05230000000000001	0.05230000000000001	1	phylo
