fit_score	Estimate	SE	control	group
elpd_loo	-93.94643897570859	6.975681716115549	spatial	SBZR
p_loo	16.117367845355314	3.4861927715945313	spatial	SBZR
looic	187.89287795141718	13.951363432231098	spatial	SBZR
