term	variable	value
r_spatial_id[Tahiti,Intercept]	mean	0.0874278424893121
r_spatial_id[Tanna,Intercept]	mean	0.203277686086893
r_spatial_id[Te.Henua.‘Enana,Intercept]	mean	-0.149910979635073
r_spatial_id[Tikopia,Intercept]	mean	-0.00428322106235121
r_spatial_id[Tokelau,Intercept]	mean	0.022413931522569
r_spatial_id[Tonga,Intercept]	mean	-0.122204269373209
r_spatial_id[Tuamotu,Intercept]	mean	-0.0525098743125076
r_spatial_id[Tungaru.+.Tuvalu,Intercept]	mean	-0.038457484693581
r_spatial_id[Tupuai,Intercept]	mean	-0.0205419150064966
r_spatial_id[Ulithi.(greater),Intercept]	mean	-0.00307096641067241
r_spatial_id[Ureparapara,Intercept]	mean	0.107518138903603
r_spatial_id[Uvea.(Wallis),Intercept]	mean	0.00365630000651079
r_spatial_id[Vanua.Lava,Intercept]	mean	0.0226239810154345
r_spatial_id[Viti.Levu.+.Yasawa,Intercept]	mean	0.239350863975649
r_spatial_id[Woleai,Intercept]	mean	0.000950692826717241
r_spatial_id[Yap,Intercept]	mean	-0.0130258222607397
lprior	mean	23.7982430396552
lp__	mean	-228.52106637931
Intercept	sd	0.450373222347317
environ_PC1	sd	0.241793701067095
Shoreline	sd	0.458970751903771
environ_PC2	sd	0.258534091797814
environ_PC3	sd	0.172153031371135
environ_PC1:Shoreline	sd	0.188312291802219
Shoreline:environ_PC2	sd	0.224216010760372
Shoreline:environ_PC3	sd	0.208336397652686
moEA033	sd	0.263193472734286
moSettlement_date_grouping_finer	sd	0.0477279277819519
moEA033:Shoreline	sd	0.238864879109138
moSettlement_date_grouping_finer:Shoreline	sd	0.0504240597142881
sd_spatial_id__Intercept	sd	0.115682248759993
simo_moEA0331[1]	sd	0.189657450749154
simo_moEA0331[2]	sd	0.15152799479993
simo_moEA0331[3]	sd	0.18342407296345
simo_moSettlement_date_grouping_finer1[1]	sd	0.0941179869143455
simo_moSettlement_date_grouping_finer1[2]	sd	0.0920959354970328
simo_moSettlement_date_grouping_finer1[3]	sd	0.0907196323019655
simo_moSettlement_date_grouping_finer1[4]	sd	0.0895759987668619
simo_moSettlement_date_grouping_finer1[5]	sd	0.0880472289729055
