variable	Malakula	Kanaky (New Caledonia main isl+)	Santo	Ambrym	Efate	Pentecost	Tanna	Viti Levu + Yasawa	Erromango	Laguas_yan_gani	Maewo	Vanua Lava	Ambae	Duff + Reef Isl+s	Tungaru + Tuvalu	Ureparapara	Aneityum	Anuta	Aore	Aotearoa	Chuuk	East Futuna	Futuna + Aniwa	Hawaii	Hiu	Kadavu	Kapingamarangi	Kosrae	Lau	Lifou	Loh-Toga	Luangiua	Mangareva	Mangarongaro	Marshall Isl+s (greater)	Mo-ava-mo-iki	Mota	Mota Lava	Nengone	Niue	North Marquesas	Nukuoro	Paama	Palau	Pohnpei	Pukapuka	Raivavae	Rakahanga-Manihiki	Rapa Nui	Rekohou	Rimatara	Rotuma	Rurutu	Samoa	Southern Cook Isl+s	Tahiti	Tikopia	Tokelau	Tonga	Tuamotu	Tupuai	Ulithi (greater)	Uvea (Wallis)	Woleai	Yap	NONE
b_EA033_max	-0.626892	-1.57141	-0.991067	-1.40302	-1.54013	-1.24544	-1.32579	-1.53938	-1.61979	-1.69209	-1.53914	-1.45111	-1.59612	-1.51769	-1.5728	-1.61462	-1.36723	-1.41904	-1.53047	-1.67223	-1.50925	-1.5103	-1.35045	-1.50284	-1.33315	-1.45613	-1.43505	-1.51231	-1.2479	-1.52406	-1.74512	-1.51312	-1.43564	-1.39482	-1.44853	-1.60574	-1.53583	-1.61827	-1.40873	-1.66507	-1.5256	-1.56842	-1.51182	-1.57298	-1.30964	-1.51576	-1.5575	-1.44354	-1.5882	-1.41167	-1.47409	-1.63086	-1.5346	-1.41116	-1.37858	-1.52254	-1.54357	-1.47487	-1.38344	-1.47368	-1.33766	-1.51911	-1.44644	-1.5252	-1.51485	-1.58106
b_EA033_min	-4.15965	-4.95554	-4.68921	-4.75567	-4.98231	-4.88152	-4.78232	-5.13299	-5.27204	-5.26252	-4.878	-4.96088	-4.96186	-5.13384	-5.3493	-4.85899	-5.43789	-4.78708	-4.93276	-5.32844	-5.22249	-4.97954	-4.97132	-5.08994	-4.88443	-4.87063	-5.23552	-4.93833	-4.88228	-5.009	-5.01459	-4.93476	-4.8207	-4.87091	-4.83031	-4.85413	-4.96524	-4.946	-4.94995	-4.99167	-5.10006	-5.13164	-4.87621	-4.83432	-5.02644	-5.08255	-4.99377	-4.9133	-5.14165	-4.84385	-4.92572	-5.10786	-5.14432	-4.91615	-5.04323	-4.92797	-4.96617	-4.93515	-5.21198	-4.9837	-4.88878	-4.90527	-4.97012	-4.87957	-4.93542	-4.90157
b_EA033_mean	-2.41436461313793	-3.09254009034483	-2.7067497352931	-3.11536947793103	-3.19071751258621	-3.14229159551724	-3.1391059087931	-3.23484432689655	-3.20751979137931	-3.39620806448276	-3.19128998241379	-3.17226924896552	-3.15479396	-3.15491902827586	-3.13725415551724	-3.14086882862069	-3.12269739517241	-3.14515839137931	-3.15813548206897	-3.39165798982759	-3.13958721310345	-3.14120495034483	-3.16486363275862	-3.23783454017241	-3.14255442862069	-3.10431779465517	-3.16185625517241	-3.21282509258621	-2.94860135603448	-3.10044534551724	-3.20804613362069	-3.18319501344828	-3.14848908931034	-3.15070622672414	-3.13635488310345	-3.14193219689655	-3.14204578517241	-3.15622675586207	-3.16811196465517	-3.16093444724138	-3.14913111293103	-3.15488335603448	-3.13960763637931	-3.11318607844828	-3.19320784551724	-3.17219716655172	-3.15069587775862	-3.15690061603448	-3.17466639948276	-3.13991323810345	-3.17048025206897	-3.21447869931034	-3.16775717741379	-3.13464051637931	-3.14931464482759	-3.18473125913793	-3.17461649534483	-3.14267012534483	-3.01269669517241	-3.14252880586207	-3.16673452534483	-3.13485338827586	-3.12998543137931	-3.13501001637931	-3.17731965172414	-3.14011917327586
b_Shoreline_max	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf
b_Shoreline_min	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
b_Shoreline_mean																																																																		
b_Settlement_date_grouping_finer_max	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf
b_Settlement_date_grouping_finer_min	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
b_Settlement_date_grouping_finer_mean																																																																		
mean_Rhat	1.00006001370156	1.00005684947792	1.00002592420294	1.00003709448522	1.00002361169036	1.00004131433497	1.00002601954316	1.00003610322728	1.00004886598186	1.00003993914355	1.00005283110326	1.00001606420003	1.00002314108252	1.00004082995639	1.00002987734428	1.00004238009835	1.00004459157758	1.00006326581432	1.0000206881468	1.00005253112864	1.00002492851216	1.0000687247422	1.00005414141339	1.00004309175504	1.00003276347122	1.00005770574593	1.00002687040119	1.00002092355409	1.00004925059926	1.00003849972928	1.00004457669963	1.00002149701592	1.00002783978562	1.00004004567837	1.00001925073306	1.00002912942328	1.0000451132108	1.00003994950653	1.00002800612045	1.00002856241707	1.00004205146147	1.00006103228423	1.00004541905599	1.00003051005951	1.00002419673038	1.00007608736957	1.00003032713843	1.00005626151985	1.00002501847386	1.00003143020181	1.00003460895086	1.00004256590136	1.00002989461339	1.0000326817201	1.00003920426473	1.00008999785237	1.00002181812559	1.00001950559813	1.00003534916886	1.00005464902722	1.00003796583937	1.00001995830728	1.00002807603837	1.00000945917139	1.00004094425548	1.00004440921552
