group	mean	sd	min	max	diff_poisson	diff_poisson_abs	lg_count	control
Malakula	16.7696	4.574823356248205	4	37	16.2304	16.2304	33	none
Kanaky (New Caledonia main island)	35.2246	8.31743186369932	12	85	-6.224600000000002	6.224600000000002	29	none
Santo	19.7904	5.447626593623167	3	43	4.209599999999998	4.209599999999998	24	none
Ambrym	3.9947	2.3746232950890036	0	16	2.0053	2.0053	6	none
Efate	1.884	1.5069741527676281	0	11	3.116	3.116	5	none
Pentecost	4.0335	2.0880645946366547	0	14	0.9664999999999999	0.9664999999999999	5	none
Tanna	4.0738	2.20962481072702	0	14	0.9261999999999997	0.9261999999999997	5	none
Viti Levu + Yasawa	1.7616	1.4445671038105987	0	10	2.2384	2.2384	4	none
Erromango	1.5281	1.3157444692457707	0	8	1.4719	1.4719	3	none
Laguas yan gåni (Guam + Northern Marianas)	10.5527	3.6459226521140735	0	28	-7.5527	7.5527	3	none
Maewo	3.8588	2.045502619919322	0	12	-0.8588	0.8588	3	none
Vanua Lava	3.3447	1.8995901542899793	0	13	-0.3447	0.3447	3	none
Ambae	3.4274	2.096227243613079	0	16	-1.4274	1.4274	2	none
Duff + Reef Islands	1.502	1.323167063188814	0	9	0.498	0.498	2	none
Tungaru + Tuvalu	2.1926	1.7277742214699343	0	13	-0.1926000000000001	0.1926000000000001	2	none
Ureparapara	1.3853	1.2256402936477493	0	8	0.6147	0.6147	2	none
Aneityum	1.6184	1.3581479656464752	0	11	-0.6184000000000001	0.6184000000000001	1	none
Anuta	0.7831	1.0955247178593206	0	9	0.21689999999999998	0.21689999999999998	1	none
Aore	2.545	1.6729778496706251	0	12	-1.545	1.545	1	none
Aotearoa	0.74	1.1764941197648988	0	10	0.26	0.26	1	none
Avaiki Nui (south)	0.7852	0.9045124511456035	0	6	0.2148	0.2148	1	none
Chuuk	2.888	1.9012147332024794	0	13	-1.888	1.888	1	none
East Futuna	0.8673	0.9565470235282855	0	6	0.13270000000000004	0.13270000000000004	1	none
Futuna + Aniwa	2.7169	2.0579547875963597	0	17	-1.7168999999999999	1.7168999999999999	1	none
Hawaii	0.185	0.45803491089431136	0	7	0.815	0.815	1	none
Hiu	1.462	1.2528818664571413	0	7	-0.46199999999999997	0.46199999999999997	1	none
Kadavu	1.3525	1.221389753229054	0	8	-0.35250000000000004	0.35250000000000004	1	none
Kapingamarangi	1.0229	1.136179862727749	0	9	-0.02289999999999992	0.02289999999999992	1	none
Kosrae	0.487	0.7350408345818961	0	7	0.513	0.513	1	none
Lau	2.18	1.716127766062581	0	13	-1.1800000000000002	1.1800000000000002	1	none
Lifou	1.756	1.3935774846848603	0	11	-0.756	0.756	1	none
Loh-Toga	4.4498	2.19211324891065	0	15	-3.4497999999999998	3.4497999999999998	1	none
Luangiua	1.0642	1.1412311776586224	0	7	-0.06420000000000003	0.06420000000000003	1	none
Mangareva	1.1521	1.1201299295643834	0	8	-0.1520999999999999	0.1520999999999999	1	none
Mo-ava-mo-iki (Bellona + Rennelle)	1.2701	1.1758759536727683	0	7	-0.2701	0.2701	1	none
Mota	0.858	0.9531667496746141	0	7	0.14200000000000002	0.14200000000000002	1	none
Mota Lava	1.8086	1.380274087149203	0	9	-0.8086	0.8086	1	none
Māngarongaro	0.5905	0.8138034023016615	0	6	0.4095	0.4095	1	none
