variable	Vanuatu + Temotu	Fiji	Laguas yan gåni
Shoreline:Settlement_date_grouping_finer§u-95% CI	0.660493	1.24776025	0.827908075
Intercept§Rhat	1.00000532937792	1.00003286080866	1.00004976516864
environ_PC1§Rhat	1.00006621411442	1.0000161826007	1.00003407557766
Shoreline§Rhat	1.00004331727921	0.999998821989074	1.00001131020774
environ_PC2§Rhat	1.00005593325912	1.00007865798659	1.00003909884148
EA033§Rhat	1.00007272893234	1.00001821217445	1.00008750473647
Settlement_date_grouping_finer§Rhat	1.00007295577447	1.00005061562287	1.00006863691449
environ_PC1:Shoreline§Rhat	0.999999894351617	1.00003495976905	1.00008892992185
Shoreline:environ_PC2§Rhat	1.00001852301403	1.00000735317938	1.00010233681028
Shoreline:Settlement_date_grouping_finer§Rhat	1.00001330175809	1.00006468404385	1.0000705965706
Intercept§Bulk_ESS	103091.833823753	87911.9746773913	92930.388429078
environ_PC1§Bulk_ESS	85224.0287131209	92031.7869599143	87708.0068058899
Shoreline§Bulk_ESS	68160.1098846549	77758.5388622935	75504.2091552778
environ_PC2§Bulk_ESS	65558.0527858039	79898.5194435852	82671.6863484533
EA033§Bulk_ESS	82305.5762485232	74673.8490686373	88440.2374158014
Settlement_date_grouping_finer§Bulk_ESS	80728.7398809448	69157.7985115429	75152.4480145265
environ_PC1:Shoreline§Bulk_ESS	75849.8444426122	61678.5707827624	72101.10906621
Shoreline:environ_PC2§Bulk_ESS	72871.2844554547	56206.9024268957	65793.8982065327
Shoreline:Settlement_date_grouping_finer§Bulk_ESS	70471.3025444001	53771.740478681	62878.6860839509
Intercept§Tail_ESS	81384.2723497128	78624.9277998282	80392.6281174437
environ_PC1§Tail_ESS	81368.8298720957	81588.6281552339	82349.2186993245
Shoreline§Tail_ESS	75337.6562417648	78449.2558231449	80161.8996895828
environ_PC2§Tail_ESS	78187.7510308498	79794.2269336531	79571.3855472231
EA033§Tail_ESS	84730.2020544662	74614.9963819449	80059.1250912662
Settlement_date_grouping_finer§Tail_ESS	84129.6179277985	73267.326341024	77927.579378551
environ_PC1:Shoreline§Tail_ESS	81516.653260981	72109.4162678419	77834.7239912247
Shoreline:environ_PC2§Tail_ESS	77726.8866284825	68102.8261668292	76184.9933170833
Shoreline:Settlement_date_grouping_finer§Tail_ESS	76387.305618834	65626.7824316461	70526.5138984809
Intercept§straddle_zero_95	yes	yes	yes
environ_PC1§straddle_zero_95	yes	yes	yes
Shoreline§straddle_zero_95	yes	no	no
environ_PC2§straddle_zero_95	yes	no	no
EA033§straddle_zero_95	yes	no	no
Settlement_date_grouping_finer§straddle_zero_95	yes	no	no
environ_PC1:Shoreline§straddle_zero_95	no	no	yes
Shoreline:environ_PC2§straddle_zero_95	yes	yes	yes
Shoreline:Settlement_date_grouping_finer§straddle_zero_95	no	no	no
dropped_observation_prediction_mean	6.6304	22.4934	48.5307
dropped_observation_prediction_diff_mean	123.3696	-14.4934	-45.5307
