rowname	EA033	Settlement_date_grouping_finer	environ_PC1	environ_PC2	environ_PC3	Shoreline	mean_posterior_predict_nd
1	1	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.528367304833463
2	1	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.7306920504147383
3	1	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.945913876099483
4	1	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.1962003478529097
5	1	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.463641263571326
6	1	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	2.7708970601123566
7	1	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	3.0985336918018125
8	1	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	3.463468085824556
9	1	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	3.9216996699119413
10	1	11	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	4.532335526002904
11	1	12	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	5.0489832227676095
12	2	2	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.594735106244344
13	2	3	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.6750252525489951
14	2	4	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.7608300329815112
15	2	5	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.8607039248793505
16	2	6	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	0.9676289093037755
17	2	7	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.090732007229326
18	2	8	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.222005575919241
19	2	9	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.3706180804416774
20	2	10	1.7957723983044524e-17	-3.6709417557016897e-17	1.7004460072928422e-17	2.7580435264688948e-17	1.56032148407765
