dropped_obs	b_Carrying_capactiy_PC1_max	b_Carrying_capactiy_PC1_min	b_Carrying_capactiy_PC1_mean	b_Intercept_max	b_Intercept_min	b_Intercept_mean	b_Carrying_capactiy_PC2_max	b_Carrying_capactiy_PC2_min	b_Carrying_capactiy_PC2_mean	b_EA033_max	b_EA033_min	b_EA033_mean	b_Shoreline_max	b_Shoreline_min	b_Shoreline_mean	b_Settlement_date_grouping_finer_max	b_Settlement_date_grouping_finer_min	b_Settlement_date_grouping_finer_mean	mean_Rhat	mean_Bulk_ESS	mean_Tail_ESS	diff_predicted_vs_observed	dropped_observation_prediction	dropped_observation_prediction_diff	b_Carrying_capactiy_PC1_includes_zero	b_Carrying_capactiy_PC2_includes_zero	b_Intercept_includes_zero	b_EA033_includes_zero	b_Shoreline_includes_zero	b_Settlement_date_grouping_finer_includes_zero
Satawal	2.11088	-2.36237	-0.17960250976710682	4.20122	-9.10068	-2.197178080507146	3.26909	-0.944054	1.1247142688294474	-3.43732	-7.06764	-5.2825565336206894	6.18393	1.87953	3.9046333485344826	4.59856	2.01065	3.1979877903448277	1.0000386364934666	65057.7523078654	72447.67950764479	3.151759649122807	0.988	1.012	Yes	Yes	Yes	No	No	No
Tuvalu	2.35007	-2.27249	0.10245036335799508	3.46543	-10.1214	-3.0682955129752414	3.56949	-0.819855	1.3580139520171035	-3.56059	-7.12602	-5.3077028808620685	6.32991	1.99919	4.044285099568966	4.67743	2.03608	3.2701168521551724	1.0000620567338918	59396.49206711452	68012.25024830132	3.1548701754385964	4.4325	2.4325	Yes	Yes	Yes	No	No	No
Anewetak	2.25514	-2.2238	-0.12702858325169225	3.1704	-8.26041	-2.366920696740649	3.30292	-0.867763	1.1801365366758112	-3.6984	-7.24558	-5.331684360344828	6.09302	1.6799	3.9362625721551723	4.66804	2.10643	3.204600390862069	1.0000456917375966	62758.06826224009	69864.43834080404	3.1442122807017543	0.2878	0.7121999999999999	Yes	Yes	Yes	No	No	No
Aotearoa	1.3316	-2.9878	-0.7696968961947233	2.41882	-9.94766	-3.7673124933180344	5.15102	0.609814	2.8412868453189657	-4.10476	-8.1926	-6.068080916810345	6.73527	2.75093	4.658877200258621	4.4009	1.8325	3.0477832385344827	1.0000201295135365	63630.75540806633	72951.89969859945	2.996773684210526	62.7821	61.7821	Yes	No	Yes	No	No	No
Banaba	2.59809	-2.24564	-0.12744409056856784	3.3731	-9.17144	-2.3391864541794027	3.35394	-1.02388	1.16092723725905	-3.44245	-7.35997	-5.28393006112069	6.37408	1.94128	3.92454561	4.65905	1.86239	3.2030641975	1.0000581374109312	60425.36189678492	67619.70734884244	3.155242105263158	0.6284	0.37160000000000004	Yes	Yes	Yes	No	No	No
East Futuna	1.97853	-2.34114	-0.1577855834617932	3.50087	-8.00479	-2.2574930706167278	3.20394	-0.844164	1.164387522907369	-3.46745	-7.00562	-5.242064969137931	5.97883	1.76783	3.8460283524137933	4.69544	2.06792	3.207128713362069	1.0000341775085002	62794.57465312039	69596.55941588897	3.166456140350877	1.9118	0.9117999999999999	Yes	Yes	Yes	No	No	No
Hawai'i	2.30905	-2.26049	-0.0786184893145275	3.19994	-8.59838	-2.5415664537693683	3.24043	-0.712855	1.2326515524837844	-3.48346	-7.19712	-5.390322826637931	6.11933	1.79895	3.9609009271551723	4.52715	2.05048	3.2357901104310343	1.0000399365991373	65781.9606333309	70973.02002182977	3.129412280701754	0.0594	0.9406	Yes	Yes	Yes	No	No	No
Hereheretue	2.03965	-2.43741	-0.09163546729890948	3.9584	-8.98655	-2.465203500438131	3.21227	-0.802728	1.1906120488807423	-3.57723	-7.10839	-5.292810497844828	6.297	1.88175	3.947061371551724	4.54359	2.05636	3.2271061672413794	1.0000964653158309	60475.03407220765	69296.10719433195	3.161778947368421	0.4915	0.5085	Yes	Yes	Yes	No	No	No
Kapingamarangi	2.18168	-2.22475	-0.07507970607617388	3.88351	-9.5691	-2.4317183221043526	3.22829	-1.03453	1.2024187118784915	-3.53009	-7.29563	-5.328353571293103	6.11982	1.84704	3.9085691881896554	4.63646	2.0424	3.1761906481896554	1.0000271635841782	64260.02017973061	69472.30434236885	3.1586228070175437	2.2637	1.2637	Yes	Yes	Yes	No	No	No
Kosrae	1.96816	-2.19641	-0.11661455537846638	4.02045	-8.86733	-2.4414198435590433	3.35867	-0.785289	1.2116913771143276	-3.55893	-7.28894	-5.3478183761206894	6.18627	1.96094	3.952011652586207	4.5488	2.04327	3.215762008189655	1.0000821216736975	62677.12995060014	69378.65716476942	3.1434877192982453	0.1936	0.8064	Yes	Yes	Yes	No	No	No
