term	variable	value
r_phylo_id[Tuamotu.+.Puka-puka,Intercept]	mean	-0.330281525472705
r_phylo_id[Tungaru,Intercept]	mean	-0.122305832382618
r_phylo_id[Tupuai,Intercept]	mean	-0.318412145957677
r_phylo_id[Tureia,Intercept]	mean	-0.33028549595094
r_phylo_id[Tuvalu.31,Intercept]	mean	-0.591432648232824
r_phylo_id[Tuvalu.32,Intercept]	mean	-0.591171548546093
r_phylo_id[Ulithi.+.Yap,Intercept]	mean	-0.01435305790987
r_phylo_id[Uvea.(Wallis),Intercept]	mean	-0.245474583318407
r_phylo_id[Vanuatu.+.Temotu,Intercept]	mean	0.960569526329692
r_phylo_id[Woleai,Intercept]	mean	-0.0037931621062211
r_spatial_id[Ānewetak,Intercept]	mean	0.00433925081986284
r_spatial_id[Aotearoa,Intercept]	mean	-0.0249350886658262
r_spatial_id[Banaba,Intercept]	mean	0.0293924009330634
r_spatial_id[Chuuk,Intercept]	mean	0.136509532627253
r_spatial_id[East.Futuna,Intercept]	mean	0.0123861187547356
r_spatial_id[Fiji,Intercept]	mean	-0.0531769161404948
r_spatial_id[Hawaii,Intercept]	mean	0.040588784489186
r_spatial_id[Hereheretue,Intercept]	mean	0.00366918020172331
r_spatial_id[Kanaky.(main.island.+.Loyalties),Intercept]	mean	0.107503150213349
r_spatial_id[Kapingamarangi,Intercept]	mean	0.0225521975125161
r_spatial_id[Kosrae,Intercept]	mean	-0.00583656260399167
r_spatial_id[Laguas.yan.gåni.(Guam.+.Northern.Marianas),Intercept]	mean	-0.17836836469407
r_spatial_id[Luangiua.+.Nukumanu,Intercept]	mean	0.0369206855671378
r_spatial_id[Mangaia,Intercept]	mean	0.0124750589667491
r_spatial_id[Mangareva,Intercept]	mean	-0.00663879865651328
r_spatial_id[Māngarongaro,Intercept]	mean	-0.0412976447117092
r_spatial_id[Marquesas,Intercept]	mean	0.00997537838685207
r_spatial_id[Marutea,Intercept]	mean	-0.00770869083601671
r_spatial_id[Mo-ava-mo-iki.(Bellona.+.Rennelle),Intercept]	mean	0.00739380887868459
r_spatial_id[Morane,Intercept]	mean	-0.0224167892364302
