term	variable	value
r_phylo_id[Tupuai,Intercept]	mean	-0.393783493327812
r_phylo_id[Tureia,Intercept]	mean	-0.40544168163033
r_phylo_id[Tuvalu.31,Intercept]	mean	-0.732364535673744
r_phylo_id[Tuvalu.32,Intercept]	mean	-0.733294703853478
r_phylo_id[Ulithi.+.Yap,Intercept]	mean	-0.0311142947838821
r_phylo_id[Uvea.(Wallis),Intercept]	mean	-0.301769650557362
r_phylo_id[Vanuatu.+.Temotu,Intercept]	mean	1.20299785954199
r_phylo_id[Woleai,Intercept]	mean	-0.0144900754237607
lprior	mean	23.7248048810345
lp__	mean	-201.68820437931
Intercept	sd	0.63340189996454
environ_PC1	sd	0.232325955727986
Shoreline	sd	0.5819812817611
environ_PC2	sd	0.213407689282963
environ_PC1:Shoreline	sd	0.174465655575102
Shoreline:environ_PC2	sd	0.17520351293984
moEA033	sd	0.407429428149082
moSettlement_date_grouping_finer	sd	0.0941294185976492
moEA033:Shoreline	sd	0.375892095385482
moSettlement_date_grouping_finer:Shoreline	sd	0.076701937296679
sd_phylo_id__Intercept	sd	0.255509528589143
simo_moEA0331[1]	sd	0.226088468345511
simo_moEA0331[2]	sd	0.214854420014017
simo_moEA0331[3]	sd	0.256065849739573
simo_moSettlement_date_grouping_finer1[1]	sd	0.0916778074778775
simo_moSettlement_date_grouping_finer1[2]	sd	0.0889379068561869
simo_moSettlement_date_grouping_finer1[3]	sd	0.0871955550743638
simo_moSettlement_date_grouping_finer1[4]	sd	0.0878871048732465
simo_moSettlement_date_grouping_finer1[5]	sd	0.0871164107246059
simo_moSettlement_date_grouping_finer1[6]	sd	0.0862867743863022
simo_moSettlement_date_grouping_finer1[7]	sd	0.0868809584194866
simo_moSettlement_date_grouping_finer1[8]	sd	0.0956565489042171
simo_moSettlement_date_grouping_finer1[9]	sd	0.0920386617105516
simo_moSettlement_date_grouping_finer1[10]	sd	0.107367077218663
simo_moEA033:Shoreline1[1]	sd	0.225255396050478
simo_moEA033:Shoreline1[2]	sd	0.170930593040594
simo_moEA033:Shoreline1[3]	sd	0.205857723569802
simo_moSettlement_date_grouping_finer:Shoreline1[1]	sd	0.072386698921183
simo_moSettlement_date_grouping_finer:Shoreline1[2]	sd	0.0771954688501079
simo_moSettlement_date_grouping_finer:Shoreline1[3]	sd	0.0695349846637529
simo_moSettlement_date_grouping_finer:Shoreline1[4]	sd	0.0680353242224182
simo_moSettlement_date_grouping_finer:Shoreline1[5]	sd	0.0674428491156338
simo_moSettlement_date_grouping_finer:Shoreline1[6]	sd	0.0629550365959306
simo_moSettlement_date_grouping_finer:Shoreline1[7]	sd	0.114350518523523
simo_moSettlement_date_grouping_finer:Shoreline1[8]	sd	0.0941829497143051
simo_moSettlement_date_grouping_finer:Shoreline1[9]	sd	0.132701496615421
simo_moSettlement_date_grouping_finer:Shoreline1[10]	sd	0.0666947510043597
r_phylo_id[Ānewetak,Intercept]	sd	0.508191347974149
r_phylo_id[Aotearoa,Intercept]	sd	0.624178024363081
r_phylo_id[Banaba,Intercept]	sd	0.522815211844013
r_phylo_id[Bellona.+.Rennelle,Intercept]	sd	0.629841166907675
r_phylo_id[Chuuk,Intercept]	sd	0.462857641890482
r_phylo_id[East.Futuna,Intercept]	sd	0.628371172700332
r_phylo_id[Fiji,Intercept]	sd	0.478159711467573
r_phylo_id[Hawaii,Intercept]	sd	0.647950836632634
r_phylo_id[Hereheretue,Intercept]	sd	0.570509794807617
r_phylo_id[Kanaky,Intercept]	sd	0.617783995462935
r_phylo_id[Kapingamarangi,Intercept]	sd	0.657928977192677
r_phylo_id[Kosrae,Intercept]	sd	0.536106681969765
r_phylo_id[Laguas.yan.gåni,Intercept]	sd	0.462422083567117
r_phylo_id[Luangiua.+.Nukumanu,Intercept]	sd	0.615579835923055
r_phylo_id[Mangaia,Intercept]	sd	0.589410963906519
r_phylo_id[Mangareva,Intercept]	sd	0.594540645359025
r_phylo_id[Māngarongaro,Intercept]	sd	0.606918437421297
r_phylo_id[Marutea,Intercept]	sd	0.569468397686049
r_phylo_id[Morane,Intercept]	sd	0.572780824433705
r_phylo_id[Napuka,Intercept]	sd	0.57179105986237
r_phylo_id[Ngā.Pū.Toru,Intercept]	sd	0.585364437389032
r_phylo_id[Ngatik,Intercept]	sd	0.486927029154812
