term	variable	value
r_spatial_id[Tupuai,Intercept]	mean	-0.00334992503211465
r_spatial_id[Tureia,Intercept]	mean	-0.00164747410457947
r_spatial_id[Tuvalu.31,Intercept]	mean	-0.0854855629216079
r_spatial_id[Tuvalu.32,Intercept]	mean	-0.0872657986332682
r_spatial_id[Ulithi.+.Yap,Intercept]	mean	0.10548861822441
r_spatial_id[Uvea.(Wallis),Intercept]	mean	0.0245323572628966
r_spatial_id[Vanuatu.+.Temotu,Intercept]	mean	0.541004270157105
r_spatial_id[Woleai,Intercept]	mean	0.123568698016455
lprior	mean	23.8085506137931
lp__	mean	-204.013272224138
Intercept	sd	0.434435626894839
environ_PC1	sd	0.187214254597128
Shoreline	sd	0.530820679806933
environ_PC2	sd	0.2105809097518
environ_PC1:Shoreline	sd	0.171471121890029
Shoreline:environ_PC2	sd	0.17427734351614
moEA033	sd	0.364683507805542
moSettlement_date_grouping_finer	sd	0.0761747349838066
moEA033:Shoreline	sd	0.290635797225328
moSettlement_date_grouping_finer:Shoreline	sd	0.066213027953155
sd_spatial_id__Intercept	sd	0.154135489834682
simo_moEA0331[1]	sd	0.23244624790654
simo_moEA0331[2]	sd	0.210067826274612
simo_moEA0331[3]	sd	0.249830891704497
simo_moSettlement_date_grouping_finer1[1]	sd	0.0955253608847822
simo_moSettlement_date_grouping_finer1[2]	sd	0.0941982296764735
simo_moSettlement_date_grouping_finer1[3]	sd	0.0900488555233394
simo_moSettlement_date_grouping_finer1[4]	sd	0.0900336029014118
simo_moSettlement_date_grouping_finer1[5]	sd	0.0903106963277316
simo_moSettlement_date_grouping_finer1[6]	sd	0.0859979570373225
simo_moSettlement_date_grouping_finer1[7]	sd	0.0881331549858854
simo_moSettlement_date_grouping_finer1[8]	sd	0.0914696624181989
simo_moSettlement_date_grouping_finer1[9]	sd	0.0920243874014027
simo_moSettlement_date_grouping_finer1[10]	sd	0.0944431282858502
simo_moEA033:Shoreline1[1]	sd	0.190565320585142
simo_moEA033:Shoreline1[2]	sd	0.149786780601566
simo_moEA033:Shoreline1[3]	sd	0.168167625436288
simo_moSettlement_date_grouping_finer:Shoreline1[1]	sd	0.0716844488265657
simo_moSettlement_date_grouping_finer:Shoreline1[2]	sd	0.0793970594713073
simo_moSettlement_date_grouping_finer:Shoreline1[3]	sd	0.072304709403529
simo_moSettlement_date_grouping_finer:Shoreline1[4]	sd	0.0695840873224403
simo_moSettlement_date_grouping_finer:Shoreline1[5]	sd	0.0695306253671601
simo_moSettlement_date_grouping_finer:Shoreline1[6]	sd	0.0636115523139051
simo_moSettlement_date_grouping_finer:Shoreline1[7]	sd	0.103381359091566
simo_moSettlement_date_grouping_finer:Shoreline1[8]	sd	0.0824900086301476
simo_moSettlement_date_grouping_finer:Shoreline1[9]	sd	0.128884149802845
simo_moSettlement_date_grouping_finer:Shoreline1[10]	sd	0.0643815755362558
r_spatial_id[Ānewetak,Intercept]	sd	0.397733516928286
r_spatial_id[Aotearoa,Intercept]	sd	0.438013219605112
r_spatial_id[Banaba,Intercept]	sd	0.408329879641768
r_spatial_id[Bellona.+.Rennelle,Intercept]	sd	0.397944091826528
r_spatial_id[Chuuk,Intercept]	sd	0.374616633823099
r_spatial_id[East.Futuna,Intercept]	sd	0.400810430257465
r_spatial_id[Fiji,Intercept]	sd	0.336864497530945
r_spatial_id[Hawaii,Intercept]	sd	0.425904660065664
r_spatial_id[Hereheretue,Intercept]	sd	0.389133565448923
r_spatial_id[Kanaky,Intercept]	sd	0.39376617403811
r_spatial_id[Kapingamarangi,Intercept]	sd	0.411898508560183
r_spatial_id[Kosrae,Intercept]	sd	0.394794157727534
r_spatial_id[Laguas.yan.gåni,Intercept]	sd	0.392015095850752
r_spatial_id[Luangiua.+.Nukumanu,Intercept]	sd	0.394944956807419
r_spatial_id[Mangaia,Intercept]	sd	0.399347190797602
