variable	Vanuatu + Temotu	New Caledonia (incl loyalties)	Fiji	Chuuk	Laguas_yan_gani	Pohnpei	Waab	Anuta-Tikopia	Marquesas	Nukumanu-Luangiua	Satawal	Tuvalu	Anewetak	Aotearoa	Banaba	East Futuna	Hawai'i	Hereheretue	Kapingamarangi	Kosrae	Mangaia	Mangareva	Mangarongaro	Marutea	Mo-ava-mo-iki	Morane	Napuka	Nga Pu Toru	Nia Matai	Niue	Nukuoro	Nukutaveke	Palau	Paumotu	Puka-puka	Pukapuka	Raivavae	Rakahanga-Manihiki	Ralik	Rapa Nui	Raro Matai	Rarotonga	Ratak	Reao	Rekohou	Rimatara	Rotuma	Rurutu	Samoa	Sorol	Tatakoto	Tokelau	Tonga	Tungaru	Tupuai	Tureia	Uvea (Wallis)	Woleai	NONE
mean_Rhat	1.000029654462903	1.0000440530722094	1.0000247703782064	1.0000339754519472	1.0000102005114087	1.0000515048666878	1.000027256251081	1.0000540037081938	1.0000315838296283	1.0000708509821208	1.000075627112566	1.0000299356720048	1.0000361815236587	1.0000576949126365	1.000035776355912	1.0000315163016797	1.0000252560446934	1.0000222334496756	1.0000148893258185	1.0000689850495383	1.000059264180009	1.00003329150699	1.000026698830211	1.000030944934973	1.0000408938288388	1.0000142912703198	1.0000351858767835	1.0000660561991066	1.0000560486704522	1.0000361092372825	1.0000393775694605	1.0000493282430774	1.0000400901619353	1.0000451124843381	1.0000192490724482	1.000057698443629	1.000042462426809	1.0000300021861526	1.0000389827958893	1.0000246886276096	1.0000551522776415	1.000049908684503	1.000054873973423	1.0000503268147354	1.000058973882937	1.0000394904618977	1.0000101113998658	1.0000258874050807	1.0000301809862349	1.0000189568413234	1.0000344883791896	1.000046783522696	1.0000203089637305	1.0000253028938029	1.0000370936586314	1.0000378789344957	1.000029579123845	1.0000194103575866	1.0000263360916366
mean_Bulk_ESS	88637.37624424766	75466.74007150346	74720.92297919033	75633.97789544896	79569.22058706707	72018.83947753056	75169.44050340385	73611.06645743277	75973.91171125286	73065.71455276266	74939.51031684043	74399.73842450384	73606.18212798364	75085.13973040071	72248.3815636818	72804.31845862351	75238.2147186084	75451.54121860838	76332.42648337588	73841.73762591567	73216.43093799357	75763.69115629795	75210.50644526725	74624.82736436391	76260.07339874796	74574.91164886489	75347.90633934125	75426.88427845866	75284.72407736952	73989.24189371194	75297.05588827272	75265.58491016491	75061.14473332709	76531.11097074374	73787.21505490164	75475.39388526368	73503.50955855734	75822.70972869673	75947.83162425506	74152.81874978503	74683.68593700916	73723.14880647327	75294.60704077284	76151.4275785202	74749.70845563241	75228.0168508378	74727.05510754007	75129.02000144232	74819.26929220659	74865.69621671723	75347.25642886701	73806.23084981256	78545.40542748645	74810.09308496086	74114.30271245899	73973.63563230235	75655.62078549918	76192.93226745984	76385.64612547129
mean_Tail_ESS	77200.80341733448	72357.66248302837	74288.23073953702	74214.64366136052	74876.49305588682	72301.41461915239	74045.75769541587	74206.99049468452	74397.60686648676	73004.99153585541	73734.30315312611	74683.19839085001	73645.11357412864	73842.37647277664	73178.53335203615	74423.25692788779	73948.252774651	75099.75030359908	74614.80451255085	72634.28684160252	73745.61500466744	73800.35757624885	73564.31086923848	73271.24050174809	73870.67344663406	75517.88889625345	74038.22274446575	73411.78932588868	74704.69362666011	74056.52888625779	74449.89562920474	74950.20813289471	73334.42287876853	75531.18572579657	73983.15604082319	73973.81207320659	74587.30015402309	75027.85907294875	74456.18298285588	73980.83407618456	74729.58478530195	72228.16866097842	73198.99883273643	73906.49451288283	73534.647966384	73720.38431371844	72948.98410846885	73585.86367485653	73670.53377767892	74277.99826278583	73522.61974393492	73482.0590424413	75932.33033714342	74376.2678783961	73415.6121246388	72310.61614376154	74464.06819125194	75047.96592221437	73825.975673128
diff_predicted_vs_observed	0.9214561403508772	2.279719298245614	2.33940350877193	2.4427368421052633	1.1040175438596493	2.3499824561403506	2.433456140350877	2.44	2.4443333333333332	2.421438596491228	2.394877192982456	2.4204912280701754	2.425561403508772	2.125035087719298	2.4338421052631576	2.426385964912281	2.4332280701754385	2.417333333333333	2.4158947368421053	2.4097543859649124	2.419263157894737	2.4468771929824564	2.4134035087719297	2.433280701754386	2.4208421052631577	2.4123684210526317	2.4030526315789476	2.4377719298245615	2.4137894736842105	2.420578947368421	2.427929824561404	2.429701754385965	2.3626666666666667	2.4239298245614034	2.418280701754386	2.4249649122807018	2.4236842105263157	2.4114736842105264	2.429333333333333	2.425175438596491	2.4203684210526317	2.4384736842105266	2.4283333333333332	2.422456140350877	2.4412105263157895	2.4216491228070174	2.416175438596491	2.4355087719298245	2.4196666666666666	2.4150701754385966	2.4254912280701757	2.4243508771929827	2.3352280701754387	2.397333333333333	2.432140350877193	2.440017543859649	2.4220526315789477	2.432157894736842	2.3818275862068967
dropped_observation_prediction	8.4137	18.5152	12.9782	6.0353	73.4439	0.3817	2.751	1.8019	2.5175	1.6527	0.7013	2.4235	0.2749	198.8226	0.36	1.2897	0.0592	0.61	2.2764	0.2118	0.4505	0.8972	0.3487	0.9495	1.4763	0.5078	0.5401	0.7274	0.2132	0.7573	1.6298	0.9782	7.3094	1.6322	0.604	0.4071	0.6014	0.3722	1.2602	0.4499	0.1322	0.6031	1.4537	0.704	0.9288	0.4319	0.1307	0.4879	1.9008	0.6744	0.6736	0.4877	6.8123	6.7568	0.487	0.6696	1.8747	0.9441	0.2699
dropped_observation_prediction_diff	119.5863	15.4848	4.978199999999999	0.03530000000000033	70.4439	2.6183	0.2490000000000001	0.19809999999999994	0.5175000000000001	0.34729999999999994	1.2987	0.4235000000000002	0.7251000000000001	197.8226	0.64	0.28970000000000007	0.9408	0.39	1.2764000000000002	0.7882	0.5495	0.1028	0.6513	0.05049999999999999	0.47629999999999995	0.49219999999999997	0.4599	0.27259999999999995	0.7867999999999999	0.24270000000000003	0.6297999999999999	0.02180000000000004	6.3094	0.6322000000000001	0.396	0.5929	0.39859999999999995	0.6278	0.2602	0.5501	0.8678	0.39690000000000003	0.4537	0.29600000000000004	0.07120000000000004	0.5681	0.8693	0.5121	0.9008	0.3256	0.3264	0.5123	5.8123	5.7568	0.513	0.3304	0.8747	0.05589999999999995	0.7301
b_Intercept_mean	0.20408445907338965	0.5233406788968086	0.44395979982892636	0.5054316549302466	1.3887544884827587	0.5068934875189285	0.5030855535684742	0.48774655557919877	0.5149671437973621	0.5022009734808183	0.45568828147127066	0.4974918730849429	0.4832027879884224	0.31765428960995346	0.4540920289174414	0.5149429361748379	0.4973138793935276	0.4880859019715638	0.5498886257142759	0.47358242995884825	0.46964911097671036	0.5030583332796706	0.4914619519762041	0.5055320800231907	0.5279180863370879	0.4783014128216569	0.4875958301063035	0.4978374717572931	0.50709938394203935	0.4902923663032638	0.5276164526596069	0.5052950525417172	0.49348665918546897	0.4821546554239448	0.49025239546746036	0.4784437006966995	0.49278690405933967	0.4850361460874241	0.4988191633507638	0.4679324510599724	0.47793483758026895	0.4857644333476207	0.4948080585220138	0.4992716513818741	0.5012071245529173	0.469733222969331	0.4661121460620914	0.4778187845969138	0.5061566493635518	0.49177764046719485	0.49514278856218447	0.5070391561203621	0.49905545232604825	0.39328016585340864	0.4768808909009052	0.4933600082181276	0.5268072695576783	0.5032584864090277	0.505530535202934
b_EA033_mean	-0.3866150426768186	-5.004738328103448	-4.466073513448276	-4.573896899655172	-5.00454706862069	-4.675620700862069	-4.5785812737931035	-4.576665877241379	-4.572822440517242	-4.569599652586207	-4.6060964118965515	-4.573279245344827	-4.606389101724138	-5.248819787586207	-4.598301774482759	-4.573331182931034	-4.623799252068966	-4.586333261034483	-4.574494525172414	-4.61419792862069	-4.592301515344827	-4.576485122413793	-4.587400506551724	-4.573289735862069	-4.559179634137931	-4.587864496379311	-4.585702583793103	-4.579972756206897	-4.600262731034483	-4.582476905862069	-4.575698439310345	-4.57433794275862	-4.508136366034483	-4.573610101206897	-4.585429136206897	-4.590190473793103	-4.5828386301724136	-4.587203018965517	-4.567034252586207	-4.59170109862069	-4.6109501091379315	-4.582937042586207	-4.561908103965517	-4.57885677862069	-4.5760810262068965	-4.59110777	-4.617979424482758	-4.587770687068965	-4.544013582241379	-4.582077958965518	-4.580683466896552	-4.580168354137931	-4.430614022413793	-4.532740470517242	-4.588289328103448	-4.58047950137931	-4.556039062068965	-4.575443581551724	-4.573349229310345
b_Carrying_capactiy_PC1:Shoreline_mean	-2.6826571966868964	-0.4779316090061559	-1.1914604134568725	-1.3259785239448965	-3.050408610862069	-1.551047186781345	-1.3322234743025154	-1.2852759199165449	-1.2965859621675344	-1.3472906773177344	-1.2720698045153638	-1.2757519369097086	-1.3099196437597413	-2.3411579336434483	-1.2131948217525894	-1.3404610740936034	-1.358743097042726	-1.3006415551566777	-1.3612933208976654	-1.2858454330216003	-1.2511557244622293	-1.3252672006390276	-1.3425563044180793	-1.32294357624875	-1.360980679748117	-1.2746171459642306	-1.3043054618499	-1.3206723106142793	-1.397441078095724	-1.2886429975635745	-1.3300336806654034	-1.3208710442658518	-1.0361242772303458	-1.2044305262947068	-1.3108971985648448	-1.2887746395460622	-1.3068330809288449	-1.3176947055520345	-1.285251675878805	-1.2399463940918811	-1.3118659369139225	-1.2877261828896742	-1.258870035581231	-1.3245269932500396	-1.3108517841833742	-1.261633367726362	-1.2789564870080121	-1.2738856159825638	-1.2912705731709828	-1.302392504580605	-1.3147822916299108	-1.375811670214162	-1.3396029760313275	-0.6502122907358345	-1.2730275881017137	-1.3089007081904311	-1.3381332143467104	-1.3177791131214545	-1.3177464963155
b_Shoreline:Carrying_capactiy_PC2_mean	-0.028980536435339654	1.9202317647067586	1.822641992922069	1.8239644477561379	0.19296545115708327	1.8910558816632759	1.828226256115293	1.8426060068134482	1.8067070551503448	1.8178251156343448	1.880738243264638	1.8475147108959327	1.864257362623793	5.768325602413793	1.8946881073289654	1.8185959117018966	1.824787272047069	1.8440373269281207	1.7991956111544827	1.885917102199707	1.8693006311137932	1.825974474069138	1.8352999838803965	1.824877154969793	1.7927078328594828	1.852776892449138	1.8465205113272414	1.8341412440148448	1.8185289054344829	1.843291625292931	1.8152606841960346	1.82807112486	1.7573723055243105	1.8682445580382758	1.842878895407069	1.8607496741468965	1.8325796682933966	1.8430842843634483	1.8274961840415518	1.867548843607138	1.856722640559138	1.8423157053899137	1.8252324054465516	1.8287952027465517	1.8237425548629311	1.8634308817918965	1.886250342708276	1.8514729774963983	1.8066650763812069	1.8470792718106206	1.8341199395359482	1.8111936546598792	1.8135457648638293	1.8543299770136208	1.8529114796205173	1.8311096765613535	1.7954369380827586	1.8303492494284654	1.824313198452931
