group	mean	sd	min	max	diff_poisson	diff_poisson_abs	lg_count	control
Malakula	28.5411	7.380119064469121	7	70	4.4589	4.4589	33	spatialphylo
Kanaky (New Caledonia main island)	31.0574	7.851004334918348	5	67	-2.0574000000000012	2.0574000000000012	29	spatialphylo
Santo	20.9223	6.23840961186812	4	59	3.0777	3.0777	24	spatialphylo
Ambrym	4.5981	2.756072565009557	0	20	1.4019000000000004	1.4019000000000004	6	spatialphylo
Efate	4.896	2.8801412328828833	0	22	0.10400000000000009	0.10400000000000009	5	spatialphylo
Pentecost	4.9114	2.603349339366171	0	18	0.08859999999999957	0.08859999999999957	5	spatialphylo
Tanna	2.7811	2.0597589787897688	0	15	2.2189	2.2189	5	spatialphylo
Viti Levu + Yasawa	2.7754	2.121745748317185	0	20	1.2246000000000001	1.2246000000000001	4	spatialphylo
Erromango	1.8453	1.5651878134234016	0	12	1.1547	1.1547	3	spatialphylo
Laguas yan gåni (Guam + Northern Marianas)	4.5641	2.8196606601901344	0	25	-1.5640999999999998	1.5640999999999998	3	spatialphylo
Maewo	3.4798	2.1723406423456333	0	18	-0.4798	0.4798	3	spatialphylo
Vanua Lava	2.9638	1.9783530898438755	0	15	0.03620000000000001	0.03620000000000001	3	spatialphylo
Ambae	2.8057	2.0225618867314212	0	14	-0.8056999999999999	0.8056999999999999	2	spatialphylo
Duff + Reef Islands	1.3596	1.4028131124504242	0	10	0.6404000000000001	0.6404000000000001	2	spatialphylo
Tungaru + Tuvalu	1.915	1.6702257228879394	0	13	0.08499999999999996	0.08499999999999996	2	spatialphylo
Ureparapara	1.477	1.3697659018469492	0	11	0.5229999999999999	0.5229999999999999	2	spatialphylo
Aneityum	1.4401	1.355284350078225	0	10	-0.44009999999999994	0.44009999999999994	1	spatialphylo
Anuta	0.7924	1.1359715151042797	0	11	0.2076	0.2076	1	spatialphylo
Aore	2.2015	1.644739574165674	0	12	-1.2014999999999998	1.2014999999999998	1	spatialphylo
Aotearoa	0.8801	1.3112955195507836	0	15	0.1199	0.1199	1	spatialphylo
Avaiki Nui (south)	0.888	1.0074509892543533	0	7	0.11199999999999999	0.11199999999999999	1	spatialphylo
Chuuk	1.7812	1.5867508745338015	0	15	-0.7811999999999999	0.7811999999999999	1	spatialphylo
East Futuna	0.9396	1.0970287996304937	0	9	0.06040000000000001	0.06040000000000001	1	spatialphylo
Futuna + Aniwa	1.6415	1.6378785103301954	0	13	-0.6415	0.6415	1	spatialphylo
Hawaii	0.3181	0.629247157481478	0	8	0.6819	0.6819	1	spatialphylo
Hiu	1.395	1.3145903600671496	0	9	-0.395	0.395	1	spatialphylo
Kadavu	1.1164	1.2190978877702956	0	11	-0.11640000000000006	0.11640000000000006	1	spatialphylo
Kapingamarangi	0.9813	1.1540725706600237	0	9	0.01870000000000005	0.01870000000000005	1	spatialphylo
Kosrae	0.5764	0.8260939917033127	0	8	0.4236	0.4236	1	spatialphylo
