term	variable	value
r_phylo_id[Santo,Intercept]	mean	0.717033607651369
r_phylo_id[Tahiti,Intercept]	mean	-0.19817247842585
r_phylo_id[Tanna,Intercept]	mean	0.219537169193575
r_phylo_id[Te.Henua.‘Enana.(North.Marquesas),Intercept]	mean	-0.291575899797788
r_phylo_id[Tikopia,Intercept]	mean	-0.222704577980342
r_phylo_id[Tokelau,Intercept]	mean	-0.234515498502866
r_phylo_id[Tonga,Intercept]	mean	-0.271342410955414
r_phylo_id[Tuamotu,Intercept]	mean	-0.254143811817995
r_phylo_id[Tungaru.+.Tuvalu,Intercept]	mean	-0.29206163728491
r_phylo_id[Tupuai,Intercept]	mean	-0.216908071265443
r_phylo_id[Ulithi.(greater),Intercept]	mean	-0.345534705448479
r_phylo_id[Ureparapara,Intercept]	mean	0.540452374607856
r_phylo_id[Uvea.(Wallis),Intercept]	mean	-0.195381237629431
r_phylo_id[Vanua.Lava,Intercept]	mean	0.54324461720761
r_phylo_id[Viti.Levu.+.Yasawa,Intercept]	mean	0.175697022966288
r_phylo_id[Woleai,Intercept]	mean	-0.360897461079921
r_phylo_id[Yap,Intercept]	mean	0.0713828122620241
lprior	mean	23.7378453603448
lp__	mean	-231.159040431034
Intercept	sd	0.631163682095437
environ_PC1	sd	0.236693041494088
Shoreline	sd	0.467928136262342
environ_PC2	sd	0.240040469669468
environ_PC3	sd	0.174753893112288
environ_PC1:Shoreline	sd	0.197479652283077
Shoreline:environ_PC2	sd	0.234646547579708
Shoreline:environ_PC3	sd	0.155027731954086
moEA033	sd	0.276751061010249
moSettlement_date_grouping_finer	sd	0.0622488394741952
moEA033:Shoreline	sd	0.224868504935736
moSettlement_date_grouping_finer:Shoreline	sd	0.0492914501398063
sd_phylo_id__Intercept	sd	0.222643848965365
simo_moEA0331[1]	sd	0.216673356079249
simo_moEA0331[2]	sd	0.181578156975545
simo_moEA0331[3]	sd	0.213521187876307
simo_moSettlement_date_grouping_finer1[1]	sd	0.0937474502491074
simo_moSettlement_date_grouping_finer1[2]	sd	0.0893196855365394
simo_moSettlement_date_grouping_finer1[3]	sd	0.0913245452392399
simo_moSettlement_date_grouping_finer1[4]	sd	0.0910703173044352
simo_moSettlement_date_grouping_finer1[5]	sd	0.0908538471353489
simo_moSettlement_date_grouping_finer1[6]	sd	0.087731579493954
simo_moSettlement_date_grouping_finer1[7]	sd	0.0849134014215835
simo_moSettlement_date_grouping_finer1[8]	sd	0.0880333362042636
simo_moSettlement_date_grouping_finer1[9]	sd	0.0945089839397377
simo_moSettlement_date_grouping_finer1[10]	sd	0.086976134458572
simo_moEA033:Shoreline1[1]	sd	0.222581634506437
simo_moEA033:Shoreline1[2]	sd	0.197143834358811
simo_moEA033:Shoreline1[3]	sd	0.20460752805838
simo_moSettlement_date_grouping_finer:Shoreline1[1]	sd	0.0966786284248585
simo_moSettlement_date_grouping_finer:Shoreline1[2]	sd	0.0911443248180389
simo_moSettlement_date_grouping_finer:Shoreline1[3]	sd	0.0860827958825677
simo_moSettlement_date_grouping_finer:Shoreline1[4]	sd	0.0862045076951132
simo_moSettlement_date_grouping_finer:Shoreline1[5]	sd	0.0855718842525608
simo_moSettlement_date_grouping_finer:Shoreline1[6]	sd	0.0871900023087715
simo_moSettlement_date_grouping_finer:Shoreline1[7]	sd	0.0848374284461041
simo_moSettlement_date_grouping_finer:Shoreline1[8]	sd	0.0900620889248369
simo_moSettlement_date_grouping_finer:Shoreline1[9]	sd	0.101718778438889
simo_moSettlement_date_grouping_finer:Shoreline1[10]	sd	0.0873812063359046
