fit_score	Estimate	SE	control	group
elpd_loo	-90.53568290020544	6.522142914959558	phylo	SBZR
p_loo	14.068322532089994	3.0893977098178156	phylo	SBZR
looic	181.0713658004109	13.044285829919115	phylo	SBZR
